DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.7982873,-0.1345033,-1.7199621,1.7922262,-0.53458977,-0.22593108,-2.0040166,0.5208909,-1.1228303,-0.3764987,0.4201489,0.03515029,-0.34647232,-0.32079148,0.5169724,0.49760103,0.027081534,1.8184205,0.6259294,0.7101816,-1.7375104,-1.2168312,-2.526229,-0.30326948,-0.6430948,-0.47280174,1.1048561,-0.57624125,-0.5189369,-0.17532629,-0.43951088,-1.2776644,-1.9468087,0.81771386,-0.15836796,-0.64650834,1.127171,-0.7389207,-0.66233885,0.64501774,0.7028842,0.06410007,0.55810755,-0.25461918,-0.83962137,-0.1741102,1.2473133,0.7038642,0.87257993,-0.13226813,-1.9529723,-0.2955796,-0.7736161,-0.14562204,1.1313834,0.7155081,-0.1866309,0.58303666,-0.35155112,0.3114631,-0.41751796,-0.09916717,0.2224676,0.34179142,-0.10544002,-0.19893809,-0.6810026,-0.18169956,-1.6311668,1.9552244,-1.423647,-0.35031372,1.2933295,1.2717803,2.6739845,1.264792,1.3423464,-0.8028531,-1.9217149,3.4857628,2.8500223,-1.1707444,2.2921226,-1.9903232,-1.2998492,-2.3543003,-2.5608633,-2.6499805,0.13187855,3.3445265,1.1153574,0.27136755,0.045454055,0.92295533
19870227,0.98756516,0.06837374,-2.083589,2.0421524,-0.6741357,-0.30587167,-1.9206617,0.6468929,-1.0063933,-0.24251592,0.5029313,0.15575753,-0.2527798,-0.30426466,0.72409326,0.6049991,0.2925964,2.0429614,0.76930916,0.8658048,-2.0906203,-1.1658866,-2.6105487,-0.20103168,-0.63234395,-0.47356752,1.3178085,-0.44306222,-0.49783728,-0.27358875,-0.4168835,-1.385807,-2.027412,1.0535551,0.022397637,-0.40049443,1.3526901,-0.6117934,-0.37469748,0.8414626,0.78387105,0.08557871,0.7737527,-0.17778125,-0.7451054,0.041445196,1.5046105,0.87927496,1.0962381,-0.25253934,-1.9651718,-0.19940063,-0.6300986,-0.18796614,1.3256648,0.9148457,-0.09712151,0.7359338,-0.31840816,0.54626113,-0.32767174,0.03662938,0.44439435,0.5179311,0.5905395,0.12437609,-0.5722548,0.069753855,-1.2281743,2.141883,-1.1069462,-0.038596928,1.5524501,0.72206354,2.8061955,1.3580385,1.502333,-0.44745752,-1.9404672,3.838348,3.098231,-1.5178154,2.633425,-2.3991537,-0.14464554,-2.6554618,-2.659382,-2.6510615,0.56234753,3.4226785,1.8538158,0.3339687,0.1951717,1.3149323
19870331,0.08704583,-0.4340573,-1.4372237,0.82691,-0.80182695,-0.62026656,-1.3971834,-0.117135115,-0.9172265,-0.5607428,-0.08124369,-0.33247054,-0.56955653,-0.58953273,-0.14534773,-0.039170012,-0.3197111,0.8011644,-0.028945476,0.038023174,-1.4092939,-0.98424333,-1.7293806,-0.5403578,-0.7433204,-0.6943093,0.4303275,-0.69293845,-0.6797136,-0.7215843,-0.6584014,-1.113963,-1.4363484,0.14131498,-0.47590995,-0.5498094,0.3996454,-0.6995634,-0.54888594,0.061806753,0.072077274,-0.38989025,0.029721081,-0.5403417,-0.7497568,-0.3822502,0.50583315,0.1042884,0.27001527,-0.5821864,-1.4601996,-0.6053275,-0.8081228,-0.5155347,0.3060593,0.05330266,-0.48999715,-0.04320766,-0.6673875,-0.18499,-0.56212014,-0.41059136,-0.18426736,-0.32576615,-0.39851734,-0.42452955,-0.6945726,-0.41354376,-1.2388184,0.9499028,-1.1185491,-0.48019868,0.4768433,0.07477775,1.2770249,0.4115503,0.47844356,-0.4088736,-1.221713,1.8736422,1.327123,-0.9415319,1.1607425,-1.5458827,-0.43448764,-1.8067696,-1.4147661,-1.619189,-0.4044729,1.6316302,0.6402968,-0.15072304,-0.29064077,0.08420965
19870430,-0.042625777,-0.16916187,-0.3746557,0.109333456,-0.2464232,-0.22298616,-0.3947706,-0.101368904,-0.27817684,-0.19424161,-0.091188,-0.14775492,-0.20141141,-0.20169285,-0.09743423,-0.07581278,-0.15583396,0.10881713,-0.10158547,-0.07917166,-0.3674097,-0.2815186,-0.44521248,-0.1963549,-0.22506286,-0.21081415,0.0097973645,-0.22555758,-0.21094301,-0.2097289,-0.1961838,-0.30879244,-0.38761714,-0.035040095,-0.15104386,-0.23219699,0.0040864646,-0.21039477,-0.23203912,-0.06185569,-0.059949018,-0.14943077,-0.0707216,-0.1963569,-0.24727152,-0.17282791,0.04494995,-0.040076762,-0.008487873,-0.19201759,-0.36355597,-0.1845277,-0.24622104,-0.17283581,0.00096438825,-0.08323345,-0.1733574,-0.11371445,-0.2064383,-0.12737115,-0.20974419,-0.15857327,-0.12157769,-0.13534412,-0.13354072,-0.16457997,-0.23272276,-0.15635577,-0.3056472,0.14993232,-0.288224,-0.17382963,-0.047970198,-0.04944375,0.23526968,0.018737495,0.034371078,-0.14056934,-0.33816755,0.35822737,0.25683463,-0.16142717,0.20907749,-0.36497986,-0.16354014,-0.44440308,-0.3272488,-0.42157495,-0.14705978,0.32768887,0.062079817,-0.107375026,-0.13110754,-0.018985026
19870529,-0.004439026,-0.07084306,-0.16401273,0.085853636,-0.108336926,-0.09667115,-0.18034767,-0.026367582,-0.12958077,-0.084195025,-0.016387947,-0.052851297,-0.08045873,-0.07864489,-0.02173908,-0.014448358,-0.05830566,0.077172324,-0.020097366,-0.008677045,-0.16384098,-0.12124365,-0.20996581,-0.07997075,-0.09203161,-0.08939639,0.032265283,-0.09124609,-0.08812915,-0.08863748,-0.08753328,-0.12904902,-0.17475182,0.006936513,-0.06619029,-0.09324926,0.026287321,-0.0952315,-0.08870627,-0.0051194653,-0.005044371,-0.06260391,-0.011425704,-0.0838471,-0.10852899,-0.0653152,0.049890507,0.004397668,0.018010963,-0.075402535,-0.17080355,-0.0756959,-0.10282147,-0.07554517,0.022248156,-0.038567524,-0.07115917,-0.029821081,-0.090415776,-0.05468124,-0.08488467,-0.054290622,-0.039684568,-0.05864226,-0.04907625,-0.07447907,-0.10115502,-0.057169564,-0.13397619,0.10352894,-0.12684762,-0.067888156,-0.00525916,0.00010082498,0.112021044,0.043596696,0.052423567,-0.019553546,-0.13379572,0.21443944,0.15074071,-0.056644373,0.14141083,-0.14562616,-0.0924209,-0.19987458,-0.12028616,-0.18388972,-0.043827686,0.20468476,0.05715369,-0.024017196,-0.035465583,-0.028718352
19870630,-0.27934378,0.046127684,0.51267934,-0.6730637,0.2164147,0.1687622,0.56186897,-0.11951325,0.34280002,0.15419072,-0.16155398,-0.036603406,0.07763704,0.10380944,-0.23122633,-0.1849329,-0.015819237,-0.64566433,-0.23888882,-0.26471394,0.5458956,0.26802284,0.7579052,0.09524931,0.18537985,0.13487104,-0.44228667,0.12242746,0.15602367,0.0877876,0.13113323,0.3437179,0.5905261,-0.3195235,-0.01032953,0.13006136,-0.41612956,0.16284853,0.11433287,-0.25549847,-0.28300714,0.013390109,-0.23656082,0.122375935,0.21140113,0.041783832,-0.48306108,-0.2876778,-0.34977573,0.027043313,0.5326663,-0.009502813,0.18975498,0.020526037,-0.39461583,-0.12655394,0.06227436,-0.2018903,0.04679224,-0.06754941,0.13150105,-0.046018653,-0.07124257,-0.014051624,0.033711053,0.07854794,0.24110337,-0.018879741,0.37645242,-0.7460439,0.36508864,0.08562839,-0.28488106,-0.2713663,-0.7814435,-0.4484022,-0.4901904,-0.3507863,0.39207488,-1.2013528,-0.9437324,0.07243156,-0.87158644,0.56401134,0.15082733,0.6499502,0.29300436,0.62748724,-0.052388854,-1.153426,-0.4709084,-0.21241769,-0.11609709,-0.09818714
19870731,-0.29780874,-0.2990108,-0.2788317,-0.22951877,-0.2939259,-0.29954985,-0.27621078,-0.30221483,-0.2914325,-0.29661456,-0.29976967,-0.30179378,-0.3003581,-0.2977523,-0.30235693,-0.29588664,-0.30208758,-0.23430529,-0.294875,-0.29116577,-0.2838613,-0.2892099,-0.27264008,-0.2980234,-0.29700524,-0.296258,-0.27042723,-0.29824626,-0.29692987,-0.29939514,-0.29865175,-0.28419894,-0.2761039,-0.27860776,-0.3022407,-0.29620925,-0.27172762,-0.29738316,-0.2965377,-0.29500872,-0.29120225,-0.30233327,-0.2973371,-0.29667237,-0.29090345,-0.30225164,-0.25524879,-0.27739143,-0.27027798,-0.3022297,-0.2792508,-0.30085525,-0.29138198,-0.30218747,-0.27611473,-0.29858634,-0.30125633,-0.29693112,-0.30065852,-0.29603297,-0.29621118,-0.30237472,-0.29720318,-0.30238774,-0.30197975,-0.30086493,-0.29446957,-0.30246925,-0.2901305,-0.21660775,-0.29132402,-0.30230895,-0.25746593,-0.29364803,-0.21346155,-0.26765904,-0.26191458,-0.27318418,-0.28368,-0.15170875,-0.19417712,-0.29299217,-0.21239713,-0.2808838,-0.29082856,-0.2743499,-0.29411322,-0.2700128,-0.30122247,-0.16226439,-0.2585581,-0.2980127,-0.30136803,-0.28532487
19870831,0.11598919,0.44190827,0.9116627,-0.38820633,0.5903896,0.45199138,1.0274433,0.31327376,0.71952474,0.529804,0.24749261,0.40269622,0.45385337,0.46698296,0.38456285,0.13525969,0.24429286,-0.40712598,0.118288115,0.08762705,0.79763126,0.79131955,1.12646,0.5052085,0.5855941,0.5682607,-0.04702103,0.47980946,0.54597247,0.5005315,0.48008332,0.8143116,1.0225143,-0.03125316,0.30539423,0.52306163,-0.08877945,0.53710467,0.5154269,0.13654034,0.10271783,0.38057178,0.23385295,0.52084047,0.6950177,0.36325547,-0.20208675,-0.013313979,-0.07705426,0.39781857,0.97196656,0.43242127,0.62275577,0.41653237,-0.044098735,0.28092548,0.4345883,0.19724056,0.43916178,0.13319181,0.65085506,0.30494922,0.123111024,0.3033902,0.444858,0.36644953,0.5435337,0.3156045,0.61971146,-0.44501567,0.59709847,0.35012916,-0.1386916,-0.090082824,-0.59044826,-0.13713062,-0.19559443,0.108290374,0.8827559,-1.0652437,-0.79743505,0.38876203,-0.7337241,0.93944234,0.5419201,1.1240325,0.7247339,1.141666,0.22451334,-1.061013,-0.17553574,0.107746854,0.23173985,0.1687507
19870930,0.10979658,0.097986,0.0675185,0.110916846,0.08901768,0.09808512,0.061798114,0.10415015,0.07921022,0.091946736,0.1055021,0.09889271,0.09613508,0.09644279,0.10344788,0.11025148,0.10535582,0.11083483,0.11017761,0.110598974,0.07256904,0.07858067,0.05535535,0.09473654,0.088237405,0.09013793,0.110826075,0.09489882,0.09227928,0.09639402,0.095038526,0.07615312,0.06261372,0.11099914,0.10468509,0.09294434,0.11091096,0.08876439,0.092532255,0.10741748,0.10923855,0.10185265,0.10384558,0.094108,0.081491604,0.10145408,0.11094453,0.110993244,0.110979885,0.10014335,0.065628804,0.10033739,0.08654988,0.100005746,0.11089276,0.10762282,0.09888684,0.108166955,0.098379724,0.10937511,0.0852331,0.10400602,0.11068194,0.102127366,0.09889289,0.103225715,0.08981942,0.105383635,0.08159788,0.11085427,0.08299556,0.10150887,0.110852756,0.11082235,0.11068072,0.110715225,0.110724404,0.101803295,0.07327506,0.11076954,0.11060936,0.110896274,0.1108984,0.06979313,0.08155721,0.05489122,0.076144904,0.054908264,0.10406362,0.11066708,0.11080411,0.108517095,0.10650959,0.10665795
19871030,-0.9927991,-0.29324853,1.0064793,-2.298229,0.4430275,-0.083836555,1.3268365,-0.8200602,0.37207252,-0.05991888,-0.9882283,-0.60955846,-0.28779584,-0.33541623,-0.62757754,-1.2679188,-0.66559684,-2.2694392,-1.2726431,-1.3020717,0.8864041,0.42986757,1.6112688,-0.27101088,0.13922375,0.009350538,-1.6651149,-0.29667866,-0.14385307,-0.1436137,-0.3133096,0.7877606,1.3046931,-1.5112658,-0.66094774,-0.14552498,-1.4750365,-0.16078252,-0.106947005,-0.98218066,-1.1895164,-0.62152994,-0.7297827,-0.045322716,0.24967057,-0.35155866,-1.9680007,-1.4156897,-1.6618583,-0.5610608,1.0200813,-0.37724444,0.47505516,-0.57130706,-1.5574299,-0.7565924,-0.4957568,-1.182982,-0.21690387,-1.0470446,0.24039018,-0.65720236,-1.2685074,-0.41660568,-0.59461373,-0.5070286,0.07167953,-0.64833695,0.74293524,-2.675042,0.5998934,-0.39066312,-1.8168175,-1.6673347,-2.7730925,-2.093831,-2.256639,0.029795706,0.77483815,-4.113158,-3.181176,-1.0000566,-2.9717817,1.042649,0.4017098,1.6979768,1.2372006,1.6145838,-0.35814297,-3.9185088,-1.8881917,-1.1126727,-0.9377088,-0.51605165
