DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.4556606,0.16255614,-3.182939,2.282568,-0.9127755,-0.3829916,-2.6436498,0.98066664,-1.501006,-0.40438625,0.455998,0.15093118,-0.5273628,-0.23023897,0.47218624,0.45667052,0.46008018,2.513001,0.8633123,1.0138813,-2.8617008,-1.6839646,-3.6434321,-0.18363786,-0.84105504,-0.57163167,1.7405744,-0.80380404,-0.5526124,-0.7818024,-0.6490488,-2.15606,-2.8012843,1.4260131,-0.18969047,-0.8563169,1.4293127,-1.1129985,-0.9043057,0.49654388,0.8679729,0.28617972,0.3340116,-0.27782986,-1.360924,0.07757223,1.6480842,0.8760621,1.2840602,-0.18646926,-2.7397728,-0.5346427,-1.2906591,-0.2202515,1.7435354,1.0832871,-0.18053651,0.8159011,-0.74423444,0.8179874,-0.49308357,-0.21924275,0.52650476,0.18525273,-0.16482395,-0.38006216,-0.6380303,-0.40864572,-2.2353222,2.7208157,-2.0186324,-0.36420903,1.8290672,1.7850981,3.3553138,2.2169201,2.339449,-1.5692499,-3.1408994,4.7718887,3.4926696,-1.8119701,3.2803016,-2.784789,-1.9062557,-3.2069547,-3.9364648,-4.177152,0.1802904,4.3756824,1.5550389,0.9563291,0.07975763,0.6434099
19870227,1.3839657,0.28788155,-3.4595006,2.1771655,-1.1610382,-0.60281515,-2.3543158,0.9358709,-1.3212426,-0.3292508,0.17361364,0.10664904,-0.5187801,-0.37762123,0.4633089,0.319741,0.59005547,2.3775449,0.76597893,0.9055346,-3.0800796,-1.6194512,-3.4341075,-0.2122046,-0.9175164,-0.6632026,1.6394504,-0.68662524,-0.62810993,-1.0694184,-0.7049837,-2.2380586,-2.7357633,1.36328,-0.15798175,-0.6476049,1.3509952,-0.9912913,-0.6346296,0.440226,0.49867916,-0.006077349,0.31841245,-0.33431798,-1.2784934,0.27572128,1.5624506,0.773133,1.2285526,-0.4624718,-2.581682,-0.57253504,-1.1353927,-0.39282525,1.6092763,1.0378472,-0.19361106,0.7254784,-0.84045315,0.82407767,-0.5086795,-0.21661937,0.59667796,0.32907218,0.46799946,-0.15464288,-0.59847116,-0.21725222,-1.6055732,2.489839,-1.5230073,-0.117678404,1.8025225,0.8265415,3.0111356,2.0811574,2.2643678,-1.1526836,-3.0063028,4.608898,3.2465801,-2.1492183,3.3158593,-3.1614463,-0.20572904,-3.2745407,-3.7876575,-3.8785994,0.5165039,4.0745163,2.004173,0.92267054,0.35217917,0.70562536
19870331,0.37185964,-0.49200174,-2.8210483,1.1515669,-1.4063735,-1.0459933,-2.1492782,0.059128143,-1.4459754,-0.8326491,-0.34181926,-0.4950314,-0.983513,-0.8528953,-0.41881642,-0.30995923,-0.25084665,1.2831738,-0.17514169,-0.064246275,-2.4996533,-1.6235292,-2.8169897,-0.807708,-1.2174332,-1.1055458,0.7627536,-1.1437951,-1.0094104,-1.545317,-1.1062695,-2.056127,-2.3775094,0.21936962,-0.80861014,-0.9248947,0.4636734,-1.2055995,-0.9356096,-0.3084498,-0.15327404,-0.658567,-0.36844552,-0.87797177,-1.3746723,-0.37256476,0.6773225,0.03347656,0.4155333,-0.95171744,-2.388502,-1.1269068,-1.4525965,-0.8869453,0.59678787,0.056294277,-0.7695753,-0.18967852,-1.297951,-0.020557322,-0.91915935,-0.7525844,-0.1750929,-0.64280087,-0.67258096,-0.8375633,-0.973887,-0.86190474,-1.9840134,1.467797,-1.8438427,-0.7329918,0.77766,0.10546064,1.8252796,1.1580215,1.2724866,-0.8111498,-2.3690581,3.1362398,1.8242619,-1.6986682,2.0647867,-2.6051385,-0.60052407,-2.8230119,-2.5229802,-2.9381974,-0.7511738,2.675957,0.88842267,0.24029507,-0.17294043,-0.68610114
19870430,-0.062386125,-0.40808016,-1.1093618,0.18676087,-0.675187,-0.603637,-0.9817506,-0.22634114,-0.7205379,-0.5041495,-0.34352013,-0.41114396,-0.5713104,-0.5145763,-0.35508418,-0.30397096,-0.35448784,0.22561738,-0.33130586,-0.30712447,-1.0036,-0.7493982,-1.1415247,-0.50790954,-0.60412323,-0.55758625,0.031195551,-0.6203432,-0.5381821,-0.66723645,-0.5292359,-0.8827187,-1.0142386,-0.13995022,-0.4426661,-0.62155664,-0.09536074,-0.5908406,-0.6276802,-0.34502628,-0.29865867,-0.40469074,-0.36521643,-0.53193825,-0.704491,-0.42553255,0.016448975,-0.2071828,-0.08055824,-0.5283611,-0.9445031,-0.5436352,-0.6956437,-0.49714625,0.0024147034,-0.25841802,-0.46418118,-0.34593904,-0.60997856,-0.30447772,-0.5564771,-0.46625078,-0.32272407,-0.41161075,-0.39742965,-0.5011908,-0.57234406,-0.47678614,-0.8012534,0.33323428,-0.77113235,-0.48901594,-0.17340866,-0.17792997,0.49287823,0.19003054,0.23421851,-0.45205182,-0.983436,0.95097506,0.51686466,-0.49631545,0.5702081,-0.9762124,-0.42944324,-1.112011,-0.9207538,-1.1781415,-0.4388007,0.82996094,0.08184168,-0.1591643,-0.30135486,-0.38145298
19870529,-0.075611405,-0.16405249,-0.31149915,0.007836744,-0.22075999,-0.20364112,-0.28069603,-0.11185007,-0.23463026,-0.18616942,-0.13895601,-0.15874729,-0.19345379,-0.17601131,-0.13944507,-0.14334312,-0.14510766,0.007860169,-0.13880737,-0.13228637,-0.2867672,-0.23180343,-0.32137752,-0.18066938,-0.19996467,-0.19369219,-0.039723307,-0.20001256,-0.18636647,-0.2222115,-0.1969901,-0.25715724,-0.28766835,-0.09288209,-0.17609954,-0.20052049,-0.08034305,-0.2086074,-0.19818395,-0.14303929,-0.13272451,-0.17358734,-0.14948905,-0.19042765,-0.2276767,-0.15835574,-0.047376268,-0.10832556,-0.075385615,-0.18457577,-0.28101897,-0.19221595,-0.22130436,-0.18454291,-0.056520417,-0.13742146,-0.17660347,-0.1438015,-0.20994417,-0.1367228,-0.19226772,-0.16334692,-0.13616654,-0.17256024,-0.1561809,-0.19005002,-0.19613743,-0.1738251,-0.24255309,0.042725027,-0.23856209,-0.17303306,-0.103962496,-0.0964181,0.04468757,0.01852879,0.032661796,-0.14132412,-0.27675283,0.21644366,0.08801004,-0.17647839,0.12341714,-0.26919264,-0.1996598,-0.29937714,-0.2481024,-0.3230954,-0.14870545,0.19510143,-0.025183596,-0.07924044,-0.084666714,-0.16349022
19870630,-0.3129959,0.08235812,0.9487549,-0.6212132,0.41963726,0.32665944,0.71822417,-0.1344717,0.50324225,0.275203,0.012116894,0.06582473,0.23816048,0.18621251,-0.09339395,0.04636439,-0.022136912,-0.63789046,-0.099197015,-0.1242067,0.8550534,0.44964507,1.0185016,0.17578334,0.33706284,0.24939942,-0.43338132,0.25303906,0.24793477,0.38985932,0.28034145,0.63856155,0.83095676,-0.26214328,0.13071808,0.28125313,-0.30724505,0.34706926,0.27671868,-0.010422751,-0.12378073,0.16916409,0.00072196126,0.25915667,0.4390298,0.09673128,-0.3899435,-0.10978036,-0.2861878,0.17391136,0.7457432,0.18022612,0.41379416,0.17457196,-0.3784216,-0.07222008,0.19186693,-0.07573232,0.25559855,-0.087264195,0.26601517,0.077747576,-0.03692971,0.14139032,0.22827584,0.26698643,0.32553804,0.16930023,0.5471546,-0.7394009,0.5538651,0.21747854,-0.22145966,-0.20766897,-0.73529005,-0.6126637,-0.6661666,-0.23407324,0.7714594,-1.3188136,-0.88430035,0.26732722,-0.972678,0.87313974,0.2995092,0.826387,0.5857439,1.0146037,0.03344561,-1.2544004,-0.4139526,-0.31632456,-0.23658986,0.13844924
19870731,-0.2517711,-0.6744096,-1.4287864,0.24583584,-0.87501305,-0.7322844,-1.2187651,-0.44658408,-0.88701963,-0.77717245,-0.5485252,-0.6624205,-0.72008866,-0.69901735,-0.68764573,-0.5054973,-0.48208782,0.24768865,-0.44444075,-0.41274837,-1.1596829,-0.97219574,-1.3506222,-0.70108587,-0.75368595,-0.77960217,-0.056567103,-0.7352438,-0.7214954,-0.8602195,-0.7419709,-1.1859528,-1.2865486,-0.113942176,-0.5629819,-0.7850587,-0.2477664,-0.8111919,-0.7918489,-0.54953045,-0.451207,-0.63481075,-0.59494716,-0.7927194,-0.9912858,-0.56657463,-0.018212229,-0.22787851,-0.10655552,-0.6523825,-1.1848236,-0.72449476,-0.9589898,-0.65351164,-0.09262523,-0.42972493,-0.6476605,-0.47615778,-0.75463665,-0.34432906,-0.77117693,-0.6394292,-0.4063693,-0.5996222,-0.72460485,-0.72682536,-0.76739204,-0.64888334,-0.9151242,0.4255645,-0.91213685,-0.6290548,0.031058013,-0.35568374,0.40194383,0.19221643,0.2551066,-0.19681245,-1.2657923,1.1477089,0.54740274,-0.47176027,0.6226661,-1.2617068,-0.9367226,-1.2508388,-0.9613424,-1.5721326,-0.49685824,1.0568798,0.0068124533,-0.15623654,-0.2633949,-0.5528952
19870831,0.016826585,0.2768143,0.744749,-0.19697568,0.41973704,0.32529497,0.6592834,0.16100465,0.4717015,0.3635127,0.22634903,0.2875086,0.33736858,0.28952783,0.31829286,0.193861,0.14815477,-0.24196571,0.14867875,0.13809653,0.5925258,0.540755,0.74947447,0.32035115,0.39923713,0.39530164,-0.033027947,0.3263759,0.35949424,0.43560973,0.33963412,0.61135536,0.6935942,-0.024325699,0.19910416,0.35880065,0.022071019,0.3949057,0.3620483,0.2108574,0.16591147,0.2821327,0.25262284,0.37124678,0.5093474,0.20634946,-0.06631085,0.044192635,-0.025771528,0.29444742,0.64391905,0.32920018,0.45434293,0.29748327,-0.032790855,0.18352321,0.2975608,0.1772885,0.35313123,0.094163135,0.42422038,0.21239467,0.105432525,0.22126049,0.32687923,0.28867677,0.34344235,0.26135483,0.41092467,-0.28648484,0.41548502,0.20764184,-0.075592145,-0.03976059,-0.32208502,-0.21654546,-0.2577744,0.14428842,0.6873464,-0.73414093,-0.4315232,0.32096234,-0.5165928,0.6866177,0.38493615,0.7128511,0.5552742,0.8532925,0.18011892,-0.69684005,-0.07795383,-0.037139133,0.015317641,0.21877192
19870930,0.08982939,0.05949473,-0.024693172,0.106252864,0.034362454,0.05167166,-0.006625343,0.07866613,0.02274115,0.04308668,0.06709569,0.05423977,0.047621474,0.05738399,0.059779678,0.07232868,0.0806825,0.106810026,0.080769375,0.081948765,-0.00062018353,0.01750525,-0.022328172,0.05253379,0.036248192,0.040272053,0.09452182,0.05145688,0.049236767,0.033899765,0.048927717,0.0031186296,-0.012078175,0.093297884,0.07039089,0.044471364,0.09011346,0.03278247,0.042491626,0.06771482,0.07253076,0.058998182,0.060070474,0.04511882,0.01651012,0.06903813,0.09748091,0.088340744,0.0942791,0.05513574,-0.0034295623,0.05148011,0.02755053,0.05521386,0.09602942,0.08003484,0.05724467,0.077493645,0.04498222,0.086961925,0.034011748,0.06534951,0.08798242,0.058361705,0.053047948,0.058686733,0.0453311,0.064490296,0.02517335,0.11187905,0.024613706,0.06336614,0.09894742,0.09996314,0.112472825,0.10541442,0.10918359,0.05547261,-0.008957962,0.14002807,0.12135854,0.08596655,0.12080156,-0.006098004,0.023284601,-0.01787933,0.001730867,-0.039604362,0.06591439,0.1345168,0.09901304,0.09060267,0.086754985,0.0670519
19871030,-1.0191057,-0.17716292,1.7469653,-1.6406498,0.68662757,0.19853362,1.3191673,-0.7824867,0.519423,0.18748292,-0.5373267,-0.34703952,0.035172522,-0.24085993,-0.24387202,-0.7033651,-0.62063473,-1.7599082,-0.76186126,-0.76978374,1.2620574,0.6518412,1.6679666,-0.105784535,0.35234433,0.19351035,-1.2838492,-0.110743225,-0.063732356,0.52609843,-0.083238244,1.22105,1.4717288,-1.173311,-0.3987429,0.1415152,-0.7440979,0.21569258,0.19408163,-0.3258661,-0.5724074,-0.42826223,-0.19108653,0.23497519,0.62640816,-0.25382856,-1.3961732,-0.8706417,-1.2535757,-0.16415316,1.1370903,0.06396058,0.77459186,-0.18608677,-1.226867,-0.5886612,-0.3856802,-0.6946201,0.28948268,-0.85041827,0.3772612,-0.3208898,-0.9370199,-0.032842577,-0.3040683,-0.055950254,0.13882425,-0.20196372,0.8695612,-2.1277487,0.8085407,-0.1710236,-1.3890879,-1.256748,-2.0174344,-1.9573652,-2.1040955,0.50971526,1.3963548,-3.408358,-2.287805,-0.53278947,-2.4882874,1.3168007,0.62181664,1.6240361,1.5929902,2.0862126,0.04231289,-3.1107655,-1.4063008,-1.1745605,-1.1064277,-0.14701992
