DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.713364,0.09430376,-1.3999215,0.51148546,-0.6562651,-0.4527441,-1.0396699,0.650044,-0.65060496,-0.31118208,0.02751249,0.01939094,-0.3784502,-0.29760903,0.08647844,0.026962757,0.40262884,1.069437,0.36097738,0.3810949,-1.3173144,-0.62209976,-1.3965915,-0.117640525,-0.4988892,-0.35428736,0.7798008,-0.43259072,-0.36077505,-0.65456235,-0.44133338,-0.81277454,-1.0512819,0.4877112,-0.2635215,-0.44789067,0.50969666,-0.5347925,-0.45123562,0.059740216,0.17744958,-0.114854276,-0.01500833,-0.3101297,-0.50608605,0.25069845,0.60695845,0.19541863,0.65504986,-0.28745425,-1.0698175,-0.5285486,-0.5918231,-0.29295117,0.9154886,0.38570157,0.03827682,0.35459796,-0.65156007,0.5316763,-0.3939088,-0.31318724,0.4333026,-0.022664249,-0.29841554,-0.34950134,-0.32546586,-0.35973883,-0.93270504,1.2622046,-0.877738,-0.30230835,0.80446994,0.77294,1.6094656,1.3285372,1.3606503,-0.70695925,-1.0619588,2.5469823,1.9840143,-0.8577528,1.638608,-1.2845044,-1.137418,-1.2861444,-1.6137146,-1.438921,-0.09112924,2.2034912,0.8346039,0.44256675,0.29668906,0.37375167
19870227,0.9480758,0.423136,-1.340493,0.6210057,-0.54490834,-0.3355857,-0.71573126,0.96184546,-0.34204614,-0.047392726,0.1646902,0.25468498,-0.14805204,-0.11422151,0.35323828,0.2508182,0.71194303,1.266715,0.5937735,0.5901443,-1.2301285,-0.35521257,-1.1340038,0.12968564,-0.28214598,-0.14252025,0.95984733,-0.15828156,-0.1366201,-0.5463218,-0.22021008,-0.6106804,-0.7928729,0.6705479,0.021232843,-0.14088929,0.6949382,-0.26446325,-0.122347,0.29331774,0.2650443,-0.012667596,0.23640198,-0.10583097,-0.23082519,0.57717526,0.85489714,0.40754837,0.9487699,-0.16489732,-0.7693166,-0.32343584,-0.32267827,-0.12987608,1.0738649,0.6121243,0.3644898,0.58034325,-0.46666634,0.78364086,-0.16102546,-0.05810976,0.71791685,0.25262398,0.5223586,-0.047517,-0.06537467,-0.042629063,-0.4831252,1.3979101,-0.48018265,0.08375895,1.0643526,0.51338995,1.6023617,1.7332528,1.766329,-0.30311316,-0.7605093,2.7617106,2.0354345,-0.78088194,2.1323152,-1.246875,-0.09072137,-1.0557936,-1.3311322,-1.1019449,0.29593712,2.4732676,1.3572333,0.98295677,0.72669226,0.4953384
19870331,0.23409119,-0.4939941,-1.9443563,0.664818,-0.87548393,-0.6494191,-1.5556324,-0.18002078,-1.113941,-0.69001806,-0.2828947,-0.78914094,-1.1831458,-0.92831933,-0.27649105,-0.89926124,-0.23774457,0.6030304,-0.23079166,-0.15133587,-1.6246301,-1.3941631,-1.8680655,-0.8959329,-1.1596146,-1.1774123,0.49480942,-1.2898122,-1.122661,-1.1146709,-1.2383838,-1.6930231,-1.7772958,0.17794025,-0.829069,-0.7583437,0.16305655,-0.9090296,-0.7688999,-0.29899186,-0.23554218,-0.6137857,-0.3615965,-0.80266535,-0.9294171,-0.2770332,-0.13518894,-0.4910315,-0.20501152,-0.78787935,-1.7810357,-0.9438633,-0.9824033,-0.785514,0.5455869,0.044386834,-0.8128355,-0.2321536,-1.0034368,-0.09561637,-0.8988776,-0.71240836,-0.26783097,-0.8113854,-0.61361116,-0.7676484,-1.0037425,-0.9341771,-1.5751752,0.80208766,-1.5186207,-0.83667684,0.45956573,-0.33464938,1.5697503,-0.5905348,-0.56169707,-0.73781604,-2.6744394,1.7995701,1.6100491,-1.2591392,0.5218816,-2.0039265,-1.0431124,-2.3277397,-1.7446394,-2.7857594,-0.2845565,0.86334497,1.0732033,-0.61739784,-1.1883428,0.6906998
19870430,0.22508565,-0.25816527,-1.2013441,0.5552363,-0.46839416,-0.38014257,-1.0082493,-0.116164014,-0.66991454,-0.36697662,-0.077419385,-0.48343357,-0.74658227,-0.53361917,-0.06390132,-0.52101034,-0.119412035,0.39752138,-0.076109305,-0.035661876,-0.9637517,-0.8740283,-1.1860707,-0.5440707,-0.6893109,-0.6808476,0.33597517,-0.830744,-0.6651515,-0.58086914,-0.72538185,-1.0769506,-1.1443603,0.20357624,-0.40183246,-0.48509273,0.1510404,-0.50600535,-0.4912196,-0.11458148,-0.06309909,-0.27095464,-0.14506273,-0.45643812,-0.5532426,-0.1511745,-0.080301404,-0.25716543,-0.15350537,-0.3992184,-1.0763128,-0.4650031,-0.55414855,-0.38972795,0.41307738,0.047392666,-0.49117452,-0.10162459,-0.49458575,-0.0476,-0.54236543,-0.37890056,-0.122979045,-0.43050927,-0.22877142,-0.4415877,-0.6471194,-0.42635983,-0.90543413,0.5402752,-0.8834039,-0.486174,-0.14258562,-0.15304309,1.0747398,-0.52056533,-0.5003526,-0.49876362,-1.8235413,1.0631431,1.1712407,-0.47206068,0.29598257,-1.2045772,-0.40067604,-1.4894692,-1.1394494,-1.8666649,0.017281607,0.5834576,0.8486317,-0.47541675,-0.83207726,0.7257609
19870529,0.10130276,-0.12768504,-0.5540519,0.2658672,-0.23509412,-0.17890993,-0.44959477,-0.050467968,-0.31801027,-0.18482472,-0.01988031,-0.2478645,-0.35668153,-0.23554981,-0.0039728433,-0.2714651,-0.053792603,0.1932018,-0.03243675,-0.009184077,-0.43734115,-0.39718676,-0.5375767,-0.2547224,-0.33035937,-0.3288881,0.16179052,-0.38060862,-0.31756064,-0.28719142,-0.373446,-0.49277902,-0.50748086,0.11036739,-0.20527655,-0.21526283,0.0677242,-0.25602517,-0.20945737,-0.049878843,-0.028607994,-0.14956336,-0.06536262,-0.21906686,-0.24992347,-0.06829365,-0.029639557,-0.12704778,-0.07385502,-0.18756153,-0.49802467,-0.22970533,-0.25579524,-0.19548914,0.19062139,0.0009822845,-0.2502846,-0.042608887,-0.23972285,-0.011470303,-0.26022673,-0.16816205,-0.062294558,-0.23995613,-0.16749707,-0.23361307,-0.31824738,-0.21158993,-0.42300156,0.25284868,-0.42329413,-0.22108567,-0.101558976,-0.07738024,0.42538917,-0.26191047,-0.25175887,-0.08652301,-0.83129764,0.5004257,0.5217229,-0.18265894,0.1216324,-0.5234863,-0.29154578,-0.66083264,-0.4273367,-0.8557785,0.054488987,0.22249307,0.3725414,-0.23380607,-0.37779748,0.3127613
19870630,-0.2703377,-0.053862303,0.42322475,-0.16364473,0.25207132,0.20672278,0.26610333,-0.27491054,0.18557253,0.10555604,-0.025426298,-0.05609624,0.08594714,0.069297805,-0.094018176,-0.0007571578,-0.15534264,-0.38462237,-0.13989422,-0.12524733,0.39149356,0.11892526,0.37842655,0.033477306,0.13644052,0.08303487,-0.27113116,0.06684388,0.08594602,0.23994036,0.10990839,0.20417762,0.27466357,-0.17067388,0.06293936,0.10461742,-0.16899681,0.12583815,0.100534186,-0.012557626,-0.059815332,0.08067773,-0.010226354,0.12464182,0.116368204,-0.098423354,-0.22587219,-0.07175255,-0.26957574,0.09381764,0.25198627,0.13493024,0.15086094,0.09249762,-0.3202223,-0.021661833,-0.032559156,-0.13194981,0.19210161,-0.19679831,0.11422463,0.038451165,-0.18973683,0.027489051,0.10196453,0.11575006,0.1017662,0.05800408,0.18699467,-0.4655478,0.1914849,0.067408025,-0.16252089,-0.15202408,-0.51930904,-0.60711294,-0.61743385,-0.28333318,0.1541721,-0.93102497,-0.6549817,0.15570952,-0.6611918,0.33717287,0.1528892,0.26676118,0.14264052,0.28326067,0.0016168207,-0.8120383,-0.34108973,-0.33402684,-0.32074824,-0.005403213
19870731,-0.12571642,-0.44534293,-0.81002367,0.13885584,-0.43453956,-0.34200662,-0.72564375,-0.33562955,-0.5542291,-0.4797514,-0.30474156,-0.59723693,-0.61218,-0.52636343,-0.42981207,-0.5672824,-0.28801906,0.031483173,-0.23341464,-0.2184986,-0.6355643,-0.71664596,-0.77012885,-0.56188524,-0.6218296,-0.6485609,-0.029306024,-0.6382882,-0.6154668,-0.5111749,-0.6782932,-0.82860786,-0.8296441,-0.03755492,-0.40241557,-0.45310235,-0.14400086,-0.524264,-0.47192356,-0.33220893,-0.27222353,-0.4290228,-0.37164316,-0.5076065,-0.57398313,-0.30835116,-0.21009663,-0.3679521,-0.32397962,-0.4152947,-0.78141356,-0.4607792,-0.5351747,-0.41007358,0.012095779,-0.20012487,-0.54409546,-0.27057165,-0.39609724,-0.18628019,-0.5475902,-0.46103922,-0.3015055,-0.48628366,-0.5015235,-0.4707051,-0.6062406,-0.48705488,-0.63849556,0.09250271,-0.64925855,-0.4555962,-0.021167547,-0.35522515,0.3585616,-0.5653932,-0.5501305,-0.31882262,-1.223978,0.40478453,0.431079,-0.22005773,-0.13298196,-0.7766961,-0.6376896,-0.94282186,-0.65520906,-1.2412361,-0.17137447,0.079743505,0.17803651,-0.50090456,-0.72080564,0.22753164
19870831,0.011815146,0.39840078,0.9300554,-0.16658229,0.52188814,0.37989128,0.80967504,0.20864151,0.59544134,0.49435094,0.28907067,0.5490707,0.5969143,0.4822984,0.43234563,0.5071784,0.18414116,-0.1929221,0.1541426,0.15065414,0.727442,0.73280454,0.86948806,0.53917855,0.6452247,0.6479498,-0.06630796,0.57582986,0.61077243,0.5942754,0.6486858,0.8586002,0.8835386,-0.04358302,0.3805533,0.45844954,0.09386963,0.5326557,0.46856305,0.30100423,0.25518847,0.41920042,0.3600315,0.5325191,0.5972912,0.21825027,0.11392063,0.3007694,0.1837418,0.4323735,0.8384422,0.49616343,0.56679165,0.43082353,-0.14220536,0.23191436,0.44532844,0.2087134,0.46859598,0.08948469,0.60594094,0.3369536,0.1807569,0.36097413,0.46904108,0.42967498,0.5767479,0.43455303,0.6071396,-0.2450778,0.6278641,0.30710086,-0.049590692,-0.01835601,-0.5659028,0.25073287,0.22925113,0.12845758,1.1964446,-0.7802387,-0.74571955,0.46986806,-0.27301413,0.9110703,0.612525,0.9984281,0.7133901,1.2604699,0.11148977,-0.47996843,-0.32407814,0.28867683,0.5247947,-0.22755833
19870930,0.048142336,0.032484554,-0.0047980323,0.20879588,0.11184904,0.1471689,-0.020405985,-0.05062212,0.034135804,0.054761387,0.11141938,-0.06764498,-0.03274343,0.007054664,0.045224242,-0.05884391,0.03564825,0.035110526,0.080235876,0.08672697,0.04581035,-0.07480637,-0.03237813,-0.0039733425,-0.025456965,-0.048094258,0.104879044,-0.06672204,-0.04532843,0.08885437,-0.063749015,-0.1005505,-0.08623303,0.11415343,0.06439919,0.07310927,0.11351987,0.03488715,0.06866729,0.08160476,0.1127803,0.05952563,0.07712107,0.056135498,0.004683256,0.029892944,0.02250494,0.007077679,-0.07549232,0.08520147,-0.06335047,0.08342194,0.051506273,0.0846113,0.06747077,0.1502038,-0.064042345,0.070843354,0.11328453,0.037026934,0.021042332,0.010596685,-0.02154927,0.0034380779,0.07685495,0.06507109,-0.034843862,0.012712449,-0.03711582,0.020424195,-0.04667288,0.0018437654,0.049546205,0.05058623,0.070317194,-0.42693663,-0.42701846,0.14944997,-0.37723988,-0.14479786,0.045265928,0.10669866,-0.21855512,-0.055438973,-0.065861516,-0.14154315,0.040599078,-0.3160244,0.16476922,-0.22995247,0.14571914,-0.217182,-0.32714063,0.30534738
19871030,-1.3261887,-0.6835203,0.95019996,-0.3442226,0.67420423,0.43695104,0.28570664,-1.7554747,-0.0056027174,-0.1356188,-0.55544114,-1.0783379,-0.43777072,-0.79456496,-0.44709635,-1.0974715,-1.1758207,-1.8279294,-0.9159315,-0.85876524,0.74109054,-0.3882507,0.49234414,-0.5564238,-0.25715268,-0.4394176,-1.1420346,-0.9078654,-0.6961076,0.5456338,-0.579026,-0.088959575,0.058870435,-1.0444667,-0.35688424,-0.16000581,-0.4278288,-0.24658692,-0.1425643,-0.37615526,-0.38624573,-0.6723983,-0.32240093,0.032248974,-0.21349823,-0.8282,-1.444964,-0.99961126,-1.9031405,-0.14505112,-0.030703545,0.1470195,0.2489649,-0.20715296,-1.4296135,-0.14381862,-1.461326,-0.8660613,0.48055398,-1.2701924,-0.045932293,-0.39403462,-1.5938423,-0.27357447,-0.4086026,-0.14230692,-0.52205884,-0.48159707,-0.013217688,-2.2375696,-0.03897977,-0.6622485,-1.4524105,-1.321439,-2.1335216,-4.199725,-4.295028,0.39176524,-1.187994,-4.412575,-2.531457,-0.5452633,-3.7439804,0.082220435,0.44475293,0.1353414,0.6932461,-0.4125489,0.22525692,-4.3418436,-1.5163043,-2.5567245,-2.809167,0.5230287
