DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.2080809,0.16513729,-2.8249485,0.62205976,-1.1567866,-0.71108973,-2.6332586,1.2228234,-1.462388,-0.5732469,0.24901184,0.23786205,-0.4893254,-0.4007275,0.3360374,0.7041027,0.6045506,1.5651627,0.8761803,0.84610903,-2.7931874,-1.6030605,-3.4346304,-0.6251849,-1.0706646,-0.68235403,1.122897,-0.7183979,-0.5718285,-1.0268285,-0.7303989,-2.1547704,-2.7437541,0.584689,-0.21985464,-0.79601467,0.776345,-0.96747845,-0.8143007,0.27078912,0.45369697,0.054547805,0.10856962,-0.4693018,-1.0330446,0.4654532,1.1659775,0.65185654,1.393066,-0.4413839,-2.7522128,-0.84711206,-1.3038371,-0.48973745,0.93884647,0.7240155,-0.14736503,0.85772854,-0.935524,0.82416683,-0.80560046,-0.38994431,0.8574629,0.3340728,-0.32808468,-0.43241093,-0.8473899,-0.43924713,-1.9944782,1.6689554,-1.8550969,-0.28705,1.2064523,1.1645231,2.1994202,2.8033252,2.9357104,-1.2143629,-3.1855001,3.8463333,1.6662319,-1.878303,1.8548192,-2.5320306,-1.748247,-3.5103908,-3.1126137,-4.019916,-0.19057879,2.3929167,0.639959,0.61128294,0.07358062,-0.13954307
19870227,1.4509008,0.4876494,-2.8367076,0.40701693,-1.431104,-0.9077673,-2.1328485,1.5740265,-1.0882488,-0.3634863,0.31345177,0.48377103,-0.16279943,-0.12739752,0.52231014,1.0340677,0.9417963,1.8259157,1.0673519,1.0412883,-2.914683,-1.0667698,-3.0203586,-0.24168037,-0.8067739,-0.33510113,1.3185432,-0.20683347,-0.15356883,-1.2314622,-0.3574721,-1.8671794,-2.2839582,0.74841106,0.07102506,-0.44393677,0.9248652,-0.66138035,-0.44102633,0.42533186,0.4349555,0.11065526,0.25956702,-0.30986762,-0.68867564,0.6962948,1.396094,0.78369325,1.7004626,-0.4832221,-2.2422094,-0.7745808,-1.1147784,-0.42685023,0.99372166,0.88315463,0.28583854,1.0250005,-1.0618838,1.0595396,-0.6179544,-0.20406444,1.1539485,0.5829313,0.8521935,-0.1367361,-0.46869373,-0.08921957,-1.1993431,1.8248125,-1.1796257,0.22690655,1.4620976,1.007582,1.9949743,3.5837326,3.7299013,-0.56093746,-2.2875395,4.210164,1.4080173,-1.9096625,2.4898112,-2.5107021,-0.22551605,-2.9450643,-2.658163,-3.0838768,0.029114364,2.8229485,0.7190546,1.3912175,0.97842956,-0.42276448
19870331,0.27853715,-0.40401348,-1.9690905,0.82013935,-0.4448092,-0.26627412,-2.2399387,0.26202178,-1.2889781,-0.5431437,-0.037572384,-0.5155246,-1.058412,-0.8824449,-0.013576031,-0.04121548,-0.17508578,0.51738137,0.111590564,0.12683433,-1.6749246,-1.9679265,-2.5476027,-1.2321665,-1.272753,-1.3129337,0.4068084,-1.3651354,-1.1930102,-0.6107257,-1.2315793,-1.9833233,-2.5670857,0.13233423,-0.5937099,-0.73184156,0.13472112,-0.87351584,-0.74156904,-0.045257717,0.024293393,-0.25129157,-0.09975813,-0.7038355,-1.1164429,-0.17728114,0.26944822,-0.04481426,0.26333907,-0.51099294,-2.5299582,-0.6155857,-0.96055907,-0.5886713,0.4398437,0.1010126,-0.9148807,0.10868095,-0.39767516,0.008874893,-0.83506435,-0.44689673,-0.02814582,-0.43905738,-0.19916582,-0.4043002,-1.210361,-0.6009087,-1.9801979,0.6385345,-1.8329109,-0.62696457,0.35031468,0.13475534,1.7635111,0.16536021,0.24211901,-0.739952,-3.8883321,1.8193753,1.295668,-1.3968177,0.5228137,-2.3795807,-1.0197979,-3.4392118,-2.1073308,-3.890726,-0.08786838,0.721165,1.0449284,-0.51957667,-1.1043348,0.68433946
19870430,0.32385242,-0.30698892,-1.884944,0.74177897,-0.4487324,-0.34955055,-2.1746478,0.30906773,-1.2181435,-0.4927807,-0.02070263,-0.4297647,-1.0077808,-0.75830877,0.03564702,0.08870369,-0.09602231,0.5338389,0.12311265,0.12710465,-1.5989628,-1.7865236,-2.425469,-1.1183615,-1.1216196,-1.078304,0.3938515,-1.2752063,-1.0038931,-0.50579506,-1.0042078,-1.8485298,-2.401282,0.16482234,-0.34979275,-0.77803653,0.15623254,-0.80445635,-0.7864366,-0.061600238,0.06941478,-0.21067367,-0.09700568,-0.66778475,-1.0545204,-0.13979663,0.32345825,0.051760048,0.34411803,-0.42229187,-2.2396226,-0.47062176,-0.89378643,-0.45312142,0.4646275,0.017009199,-0.7720293,0.08562003,-0.31974602,0.07240851,-0.83747965,-0.36739016,0.082273245,-0.25069302,-0.04574631,-0.4508665,-1.1640548,-0.34011278,-1.633354,0.67964065,-1.5263561,-0.5368821,0.21490413,0.2030195,1.6256404,0.36388326,0.43028814,-0.6479985,-3.5171478,1.7887273,1.3969384,-0.6573864,0.64207494,-2.1220434,-0.58746195,-3.1106198,-2.1097558,-3.569571,-0.0523727,0.8993507,1.0591893,-0.3022541,-0.8465656,0.67699957
19870529,0.27617732,-0.30176005,-1.3938894,0.6310991,-0.38243943,-0.24227537,-1.6727508,0.25597477,-0.96371526,-0.46190733,0.015932322,-0.37403256,-0.79921794,-0.575183,0.07618013,0.0310525,-0.08666992,0.42228734,0.12560856,0.12354412,-1.2023205,-1.3848125,-1.8648953,-0.86976266,-0.91770685,-0.91310483,0.29498443,-0.9912968,-0.8323474,-0.41500625,-0.9235171,-1.4227178,-1.8421707,0.15145084,-0.36918807,-0.5908121,0.15574458,-0.712927,-0.5562216,-0.054337293,0.05698566,-0.18692398,-0.07301451,-0.5798935,-0.8267934,-0.122069225,0.25691155,0.030978054,0.2854705,-0.31992778,-1.7769122,-0.38585782,-0.70654345,-0.38305557,0.35419428,-0.026179247,-0.65064526,0.10259384,-0.24809003,0.054562494,-0.67258453,-0.19958217,0.06388025,-0.3609724,-0.22763559,-0.45187837,-0.98127925,-0.3131168,-1.2949842,0.53976184,-1.2497475,-0.4160756,0.13097735,0.16524272,1.0913236,0.282283,0.34775668,-0.10095239,-2.6687438,1.4266338,1.1132891,-0.37552294,0.55341613,-1.5425196,-0.80786186,-2.3685389,-1.2795564,-2.7309105,0.00530345,0.6769412,0.78576136,-0.26433465,-0.38793117,0.562294
19870630,-0.6740293,0.0011371449,1.3222452,-0.15018253,0.80859566,0.62891454,1.1567507,-0.7171131,0.74976593,0.41663048,-0.032584716,-0.08043584,0.25402775,0.19980209,-0.2214059,-0.30861,-0.23703894,-0.852515,-0.3893054,-0.35133976,1.3068572,0.5973948,1.4957268,0.3516928,0.57190436,0.35174817,-0.5772025,0.23137842,0.26330158,0.6949234,0.35878646,0.97992873,1.2230673,-0.16968423,0.14584729,0.3861282,-0.3632278,0.48527044,0.39582402,0.07937874,-0.17035607,0.1351305,0.1018062,0.41523236,0.46595925,-0.12717766,-0.6063906,-0.21129195,-0.83112407,0.32940787,1.1573855,0.45054904,0.6632654,0.3481411,-0.4343837,0.082321405,0.081500106,-0.3235264,0.55812234,-0.39062738,0.50377494,0.103959285,-0.45591384,0.061483108,0.36495423,0.39151326,0.5340103,0.26001096,0.73148865,-0.97072953,0.74374086,0.16746575,-0.48172796,-0.47214752,-0.9508568,-1.8739662,-1.9573214,-0.84701467,1.0525897,-2.3136024,-0.6265532,0.48575482,-1.2020435,1.0918798,0.39130998,1.2510641,0.4428529,1.3706248,0.25206435,-1.4071136,-0.22766346,-0.7429601,-0.8297297,0.40824562
19870731,0.1507343,-0.57166344,-1.4107478,0.6262091,-0.3266181,-0.1598276,-1.7982842,0.0104886,-0.9366658,-0.6596954,-0.12600526,-0.8086334,-0.7033653,-0.72134376,-0.42855108,-0.08149749,-0.14866813,0.3238231,0.052155122,0.036444232,-1.0430546,-1.6384768,-1.8314698,-1.12104,-1.0870571,-1.1023126,0.23877588,-0.9695266,-0.98385096,-0.34500486,-0.9910505,-1.7184339,-2.0825658,0.15317449,-0.126764,-0.6688237,0.026822992,-0.7623062,-0.70699006,-0.15294015,-0.08457447,-0.3845797,-0.19199742,-0.7660252,-1.1034887,-0.20321551,0.14775512,-0.0089163035,0.18515368,-0.3068528,-1.8969114,-0.38630348,-0.84085715,-0.3019146,0.29891866,-0.054480106,-0.8272002,0.023218945,-0.09474079,0.06847972,-0.9030554,-0.43198016,0.010375619,-0.39395174,-0.52055436,-0.46869913,-1.1632335,-0.43307468,-1.2702112,0.44323093,-1.2457144,-0.44589213,0.22439328,0.009625524,1.138772,-0.003980398,0.0796603,0.029230684,-3.0283155,1.2931211,1.108532,-0.119877614,0.33477986,-1.5881445,-1.0941063,-2.427811,-0.9888325,-3.0655315,-0.06962565,0.57370335,0.6667906,-0.39395648,-0.7228676,0.6019665
19870831,-0.21603075,0.47028664,1.3235943,-0.34864455,0.52358985,0.33354518,1.6034542,-0.09094575,0.93738043,0.6835955,0.23218952,0.6630409,0.60237175,0.5587865,0.4871114,-0.017110914,0.0388636,-0.4230678,-0.08067764,-0.05790387,1.0053506,1.3763193,1.6323353,0.9420574,1.0019472,0.93303096,-0.21823342,0.71458083,0.8113902,0.52360725,0.77938277,1.4742842,1.7635984,-0.05324785,0.17514619,0.63297176,0.020250276,0.72355556,0.6467618,0.25402224,0.18154442,0.39860424,0.300515,0.72125137,1.0000461,0.12719485,-0.19198291,-0.019557595,-0.3298464,0.42221275,1.6424348,0.5073153,0.8196564,0.43241787,-0.2201482,0.2169261,0.6315227,-0.017221808,0.32256868,-0.11666076,0.93825114,0.19996637,-0.1433912,0.21315259,0.49935398,0.3476031,0.9148932,0.3124218,0.9548434,-0.49173826,0.9460254,0.19497994,-0.24594104,-0.20910855,-1.0136905,-0.60050255,-0.6973732,-0.009440064,2.349745,-1.6395473,-0.9487058,0.4213391,-0.66691345,1.5111836,0.85132045,2.0126815,1.0190278,2.4149528,0.20108125,-0.8662108,-0.44016635,0.02725172,0.22353452,-0.20003358
19870930,-0.004237611,-0.102876544,-0.26243073,0.23530415,0.041523587,0.09233444,-0.41957033,-0.04766313,-0.18596546,-0.10188413,0.047433507,-0.2029733,-0.14419878,-0.13059556,-0.041379765,-0.033923924,-0.023223158,0.0014926922,0.017317843,0.020593101,-0.1714738,-0.41503483,-0.4358198,-0.24184915,-0.25100362,-0.2628552,0.06950381,-0.22667058,-0.24722958,0.033379845,-0.21813859,-0.38348144,-0.5110528,0.07337977,0.010286648,-0.08763805,0.044944786,-0.14355358,-0.08640523,0.03379941,0.054581866,-0.0366681,0.027619112,-0.11272317,-0.2496853,-0.024736173,0.0028719958,0.0038136803,-0.03657811,0.018446013,-0.454706,0.010130443,-0.12604475,0.012671903,0.08767761,0.05954974,-0.20144455,0.022386571,0.086218774,0.0034838784,-0.19512953,-0.034712702,-0.02084678,-0.06312716,-0.015724204,0.023578875,-0.25603577,-0.007236179,-0.2932437,0.008251366,-0.28789693,-0.056572996,-0.0020288546,0.0023543052,0.22581843,-0.30704173,-0.29649276,0.083474785,-0.8504353,0.004665859,0.29597676,0.03444256,-0.06635286,-0.3625521,-0.3407529,-0.6270731,-0.18746133,-0.80594736,0.08891112,-0.038810957,0.2782104,-0.19976243,-0.328291,0.2928493
19871030,-0.82211906,-0.44972527,0.87291145,0.31250268,0.8195029,0.52295464,0.45526493,-0.90514886,0.28424752,0.11650652,-0.16263102,-0.59685826,-0.30180734,-0.5254141,-0.20093754,-0.81137216,-0.5988746,-1.0263014,-0.62990654,-0.58358896,0.8503702,-0.30536962,0.59858614,-0.35616803,-0.11365932,-0.3541171,-0.5248431,-0.6077625,-0.5920681,0.66213775,-0.47672528,0.37277812,0.30304992,-0.30467853,-0.31849676,-0.08209944,-0.2126235,-0.00567019,-0.005369067,-0.025024764,-0.08645181,-0.2999006,0.029434025,0.015126824,-0.060086668,-0.47057265,-0.81490684,-0.54795563,-1.0904738,0.08890678,0.27481025,0.32555303,0.43891135,0.033451736,-0.33766595,-0.01900962,-0.6737289,-0.562853,0.5868703,-0.6591075,0.14393649,-0.17348266,-0.8958599,-0.19388549,-0.25898486,0.031158432,-0.24357274,-0.18902884,0.09754515,-1.1722926,0.07259929,-0.3447298,-0.9061383,-0.83659965,-0.6200757,-2.6591806,-2.7392902,0.47243273,-0.58005697,-2.4427466,-0.13063186,-0.62278235,-1.5124369,0.04677397,-0.022160709,0.30092502,0.4012912,0.049922347,0.2633239,-1.6410447,-0.0130393505,-1.3332915,-1.6857748,0.9685112
