DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.0836436,-0.20323597,-2.8994904,0.9679779,-0.7695197,-0.36098364,-2.6866555,0.85623646,-1.3775554,-0.35124838,0.21266994,-0.115396634,-0.6597371,-0.50989425,0.49775004,0.56416786,0.5127428,1.5209198,0.76093435,0.78747916,-2.5012794,-1.5626864,-3.3304543,-0.6739831,-0.9962568,-0.88898027,1.2936038,-0.9497932,-0.83362854,-0.52782714,-0.83431053,-2.303997,-2.7404532,0.78797746,-0.2620814,-0.6275185,0.8409436,-0.85411,-0.6365851,0.21070364,0.50038797,0.14587286,0.14833267,-0.35693654,-1.1337464,0.33739257,1.0601751,0.57509625,1.0187396,-0.21943694,-2.7500293,-0.7472,-1.1134164,-0.420356,1.1895,0.8500067,-0.46339378,0.73533964,-0.68400306,0.74562967,-0.56939167,-0.180458,0.6037023,0.08171025,-0.04562955,-0.2975831,-1.2485379,-0.34201217,-2.1229432,1.831996,-1.8882833,-0.40395603,1.2884481,1.2550488,2.3664927,1.2107825,1.4218528,-0.8630128,-3.7082446,3.24068,2.3212,-1.8001549,2.262112,-2.4823754,-1.4764181,-3.3388357,-3.0115533,-4.426136,0.21508777,2.8413992,0.947308,0.21819782,-0.782827,0.92114913
19870227,1.0955117,-0.010053575,-2.5537753,0.76624954,-0.79392916,-0.40907586,-2.1311936,0.9506271,-1.0365698,-0.18879288,0.18194911,-0.019844938,-0.43373471,-0.33844674,0.54154444,0.60576093,0.6825812,1.4238346,0.7804963,0.79389,-2.2662876,-1.1737216,-2.7187142,-0.44998792,-0.7652683,-0.6608002,1.1990192,-0.6171903,-0.57040334,-0.5530603,-0.58502907,-1.9364742,-2.2720213,0.7393838,-0.068243004,-0.33392864,0.7795234,-0.5858847,-0.33138165,0.23667938,0.36680505,0.11956992,0.19067712,-0.20109695,-0.85947216,0.48694664,1.0530157,0.5432614,1.0668737,-0.22329438,-2.2258067,-0.58359504,-0.83825237,-0.35140282,1.0714469,0.8371184,-0.26124778,0.7491199,-0.6293191,0.78756285,-0.42002377,-0.026197024,0.7235904,0.3224818,0.61844176,0.013739601,-0.8962981,-0.06936247,-1.3844023,1.6208091,-1.2631825,-0.06094064,1.2581203,0.6881738,1.9248546,1.2591981,1.5075991,-0.47342983,-2.9762807,2.9437246,1.9261115,-1.6462197,2.3887153,-2.3162305,-0.16693482,-2.8024006,-2.4492464,-3.5122886,0.34940335,2.6876473,1.1368401,0.17736694,-0.4216385,0.75610244
19870331,0.26297045,-0.7880695,-2.9574718,1.2244663,-0.5518496,-0.30177635,-2.7464695,0.11438131,-1.4668577,-0.55424726,-0.05547391,-0.7438865,-1.3814516,-1.1740627,0.023979008,-0.03955394,-0.0015360117,0.8115376,0.058668554,0.07512319,-2.1334882,-2.0811224,-3.1217566,-1.3672686,-1.5125114,-1.6275859,0.7763669,-1.6992869,-1.5360155,-0.6557265,-1.5576532,-2.6395168,-3.027863,0.40091583,-0.77004874,-0.6979488,0.4263951,-0.9665712,-0.6728834,-0.030436903,0.115522474,-0.26259884,-0.055460483,-0.9340137,-1.197231,-0.06381059,0.2645722,0.02930677,0.18495977,-0.565161,-2.9970505,-0.9719066,-1.136261,-0.7847492,0.7080549,0.26236248,-1.2309328,0.050365627,-0.65232605,0.08527756,-0.92213273,-0.53573126,0.043424785,-0.547945,-0.35521162,-0.5256921,-1.684636,-0.67584,-2.303876,1.1262436,-2.0914044,-0.75825185,0.7024687,0.075122654,2.392212,0.13273764,0.23866189,-0.5368473,-4.5621653,2.17129,1.8568763,-1.8249049,0.7909081,-2.927394,-0.5390322,-3.7649703,-2.6118023,-4.801813,0.11832316,1.1097838,1.4293646,-0.5302181,-1.6407527,1.3492461
19870430,0.11041337,-0.5874566,-2.1673608,0.9430409,-0.3392819,-0.2379666,-2.1342297,-0.0356887,-1.1236799,-0.42127195,-0.034579024,-0.6218787,-1.1213237,-0.9004437,-0.012601346,-0.06896442,-0.122651845,0.44264948,-0.018609643,-0.011633337,-1.4613659,-1.6258208,-2.3036745,-1.128816,-1.1232703,-1.189153,0.45651448,-1.3701646,-1.154838,-0.33069938,-1.123198,-1.9705744,-2.299752,0.26843303,-0.45207456,-0.6438539,0.26190248,-0.7605046,-0.62209713,-0.0036209375,0.047186375,-0.17258552,-0.031953596,-0.7419323,-0.94576126,-0.1817039,0.042530954,-0.034614623,0.018445909,-0.37252885,-2.1417246,-0.57812303,-0.7807587,-0.4868132,0.46916723,0.09581554,-0.94033754,-0.039191723,-0.33149645,-0.025761962,-0.79636836,-0.42317975,-0.058803618,-0.35552517,-0.10569489,-0.46772408,-1.3499285,-0.36388862,-1.6027423,0.7028172,-1.4598116,-0.616195,0.0014129877,-0.001445353,1.701683,-0.10668421,-0.032049775,-0.61193633,-3.509974,1.3148054,1.475197,-0.76381636,0.42589355,-2.0858934,-0.107683085,-2.8146565,-2.0025034,-3.6448925,0.14670144,0.66229224,1.1499527,-0.59403276,-1.4665253,1.1462815
19870529,0.09341878,-0.58873856,-1.7685755,0.7683743,-0.33207673,-0.21298268,-1.6991705,-0.005832255,-0.88542616,-0.39683336,-0.010109186,-0.5326096,-0.92598236,-0.75238097,0.030990839,-0.050291,-0.043688416,0.37514913,0.011764765,0.019002974,-1.1919109,-1.2884868,-1.8453841,-0.8906775,-0.9450541,-1.028269,0.3672406,-1.1143882,-1.0039215,-0.31263474,-1.0201712,-1.6414433,-1.8507267,0.2528995,-0.46065146,-0.46980503,0.1968028,-0.66826767,-0.41353852,0.0054982007,0.044938594,-0.20609449,-0.008652911,-0.6642103,-0.7383051,-0.08217901,0.08103794,0.009904504,0.05193615,-0.30910307,-1.7804298,-0.4891008,-0.67374647,-0.4466842,0.37359202,0.058270007,-0.8147223,0.005064547,-0.30733708,0.011189163,-0.64186776,-0.21686468,-0.010180414,-0.41398397,-0.273799,-0.4672512,-1.1752132,-0.32681087,-1.3134388,0.58368444,-1.2506847,-0.4496007,0.0052583814,0.026191771,1.0375923,-0.01149559,0.038680077,-0.025083065,-2.7785296,1.0194056,1.1224945,-0.48513186,0.28157854,-1.5876222,-0.32108307,-2.1670704,-1.2614713,-2.9327238,0.11364147,0.42821574,0.85676926,-0.34554416,-0.8899749,0.81194293
19870630,-0.34165835,0.13618946,0.79583275,-0.24897817,0.3708556,0.2750755,0.7259915,-0.23965949,0.43521655,0.20842293,0.035353385,0.11034382,0.22949004,0.1960918,-0.14142007,-0.14641589,-0.093217015,-0.50537664,-0.19895363,-0.19291759,0.71772945,0.38158068,0.8758658,0.2548753,0.32991832,0.2869367,-0.42358643,0.26130432,0.2725244,0.26072377,0.27485913,0.6437121,0.7599456,-0.1372006,0.099198356,0.1990991,-0.192101,0.27755335,0.19887657,0.04211262,-0.0869375,0.08789515,0.054842524,0.20849137,0.33896008,-0.003504999,-0.33132267,-0.08105615,-0.32767317,0.13076949,0.7141299,0.23206747,0.3609437,0.18787727,-0.34757546,-0.06397107,0.1870004,-0.17617032,0.2517265,-0.1984685,0.26350757,0.026952107,-0.14576346,0.10019463,0.16749871,0.20329833,0.45084554,0.14535727,0.50457543,-0.67200434,0.48437572,0.14358237,-0.24068841,-0.22535628,-0.66650623,-0.563067,-0.6299504,-0.32532865,0.8429774,-1.229058,-0.691411,0.24768211,-0.9315889,0.6656887,0.16739562,0.76914275,0.36610106,0.99867165,0.048762828,-1.1034216,-0.27589563,-0.219652,0.08645817,-0.18409961
19870731,0.007392049,-0.73514485,-1.7627536,0.7428931,-0.30334008,-0.16280499,-1.7116406,-0.26270846,-0.81802034,-0.59963024,-0.06968853,-0.776643,-0.79873186,-0.84665465,-0.38279453,-0.08084971,-0.07443741,0.34405667,-0.01586622,-0.007963359,-1.0829592,-1.3270051,-1.7047609,-0.9829531,-0.9696715,-1.1025629,0.2833197,-1.0279502,-1.0593302,-0.27923208,-1.0062714,-1.8095487,-1.8903843,0.2892847,-0.21161379,-0.45839044,0.1536758,-0.6749058,-0.47740006,-0.033602495,0.0026447028,-0.34967598,-0.053079523,-0.7869958,-0.94861627,-0.17664239,0.059492707,-0.017653227,0.011778712,-0.26656377,-1.7264432,-0.45487192,-0.75649464,-0.32312146,0.3200008,0.0112731755,-0.8330695,-0.017926812,-0.20284465,-0.011641204,-0.7629775,-0.42007846,-0.021854222,-0.41983882,-0.5888444,-0.46713454,-1.2558143,-0.45882204,-1.1994107,0.49282372,-1.1456385,-0.46191275,0.28763098,-0.034870684,1.052007,-0.12950814,-0.04225743,0.07790822,-2.8343995,0.9584333,1.07534,-0.034184255,0.20130682,-1.6093038,-0.57429665,-2.010296,-1.0538577,-2.9998171,0.03299076,0.45475042,0.7004421,-0.3183477,-0.9771228,0.76472247
19870831,0.11067,0.96510935,1.9912332,-0.7990005,0.45330048,0.2759084,1.9936922,0.48863858,1.0340319,0.82268286,0.22665933,1.0682968,1.0567362,1.061483,0.6239604,0.24865167,0.18085322,-0.33603644,0.1674183,0.16089118,1.2663612,1.6959529,1.9826143,1.2594781,1.3071644,1.413394,-0.26688737,1.2776701,1.3923903,0.46921197,1.2660875,2.0559256,2.1947274,-0.18986535,0.3552969,0.64527386,-0.03573385,0.898074,0.625659,0.21034,0.1615603,0.5522546,0.21894874,1.0276654,1.1916165,0.29207665,0.07009983,0.17791034,0.113852054,0.48654506,2.039257,0.65770054,0.91245955,0.5254111,-0.30453163,0.1600497,1.1092868,0.18503723,0.3779354,0.16069326,1.1309066,0.49393576,0.16900843,0.46338522,0.6009871,0.5047149,1.4052703,0.5305486,1.313901,-0.5154265,1.267775,0.48781186,-0.19430941,-0.15347123,-1.3268169,0.26496398,0.13731122,-0.10902062,3.3425186,-1.2285004,-1.4535444,0.55618954,-0.45032907,2.0163178,0.5589304,2.3862925,1.4302969,3.3962662,0.024077497,-0.6550977,-0.79788506,0.42196727,1.2666188,-0.9353566
19870930,-0.013285577,-0.11862414,-0.36030567,0.17216814,0.0070780516,0.043710023,-0.34926057,-0.042653292,-0.1293819,-0.08506286,0.049152985,-0.15788727,-0.13876022,-0.1394432,-0.02513022,-0.006210029,0.0054323077,-1.4662743e-05,0.0018879175,0.0054439306,-0.19318962,-0.28060555,-0.34251666,-0.17867404,-0.20068681,-0.2188878,0.038339734,-0.18664849,-0.2100199,0.008210093,-0.18341784,-0.3742187,-0.3975258,0.08666918,-0.0038236529,-0.03375268,0.07181668,-0.10955399,-0.028071135,0.06319143,0.061267443,-0.020375893,0.05459643,-0.12910393,-0.1715393,0.011072218,-0.023975909,0.007784486,-0.041327298,-0.00042907894,-0.3617028,-0.043914974,-0.10755235,-0.015001938,0.049910843,0.043637484,-0.1397236,0.007366717,0.022326797,-0.011118948,-0.1503622,-0.023515418,-0.019886553,-0.046586268,-0.02007106,-0.00206545,-0.23367417,-0.016229644,-0.22457755,-0.0083345175,-0.21291625,-0.03858888,0.0022890568,0.0059313774,0.13261604,-0.11574662,-0.13797629,0.07437679,-0.6675899,-0.06966305,0.12741268,0.024401128,-0.16890407,-0.31875908,-0.1375472,-0.44291127,-0.19047737,-0.68328786,0.07276759,-0.16184902,0.18605381,-0.10653365,-0.21791516,0.18669999
19871030,-1.0039227,-0.117301315,1.6403632,-0.41167676,0.9189225,0.42942563,1.5843787,-0.7248678,0.7938342,0.31688473,-0.20938823,-0.20206514,-0.041851163,-0.12559293,-0.34855092,-0.8962401,-0.7425332,-1.4938227,-0.9235485,-0.8839075,1.3342173,0.4395697,1.6670388,0.15295437,0.37411216,0.22912231,-1.1371989,-0.07734439,-0.008160263,0.508475,-0.0543603,1.3891399,1.5574024,-0.62168473,-0.36075363,0.05678515,-0.37694615,0.24655326,0.1762329,-0.05219437,-0.2312482,-0.35094208,0.0787777,0.14210264,0.6675031,-0.42387313,-1.2968428,-0.69352156,-1.3494493,-0.09544329,1.3574386,0.403943,0.8665937,0.032567166,-0.9416028,-0.5044351,-0.17986731,-0.86867976,0.49323618,-0.9763985,0.48855546,-0.3397833,-1.1009734,-0.09489003,-0.4353556,-0.107563384,0.5419377,-0.15907414,0.97472346,-1.9192164,0.8159783,-0.1468806,-1.3312244,-1.2102475,-1.5264158,-2.0267267,-2.2570515,0.47867274,1.4517732,-3.3077083,-1.5589644,-0.2600275,-2.8668294,0.98439825,0.5104773,1.6328324,1.1418381,2.031196,0.01729007,-3.2707636,-0.7002033,-0.9887303,-0.37239394,-0.20499597
