DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,-0.00013054254,-0.00013650957,-0.0002389007,-9.996291e-05,-0.00014996677,-0.00015517107,-0.00012966659,-0.000109154076,-0.00012528893,-0.00011154249,-0.0001504628,-0.00012453612,-0.00017508162,-0.00015309293,-0.00013266566,-0.00012497732,-0.00013034212,-0.00012724136,-0.00011432455,-0.0001149486,-0.00012632753,-0.00014927887,-0.0001427662,-0.00016720526,-0.0001525984,-0.00014342945,-0.00012497467,-0.00016087071,-0.00015687587,-0.00016617855,-0.00015606458,-0.00016326146,-0.00013499406,-0.00014733073,-0.0001232102,-0.0001336846,-0.000120972276,-0.0001318134,-0.00013312064,-0.00011845737,-0.0001240451,-0.00013272131,-0.00012177043,-0.00014871928,-0.00013218749,-0.00010820273,-8.484116e-05,-0.00014747826,-0.00012261982,-0.00013622032,-0.00013541314,-0.00016931427,-0.00011565664,-0.00015890072,-0.00012434904,-0.00015900708,-0.00014868911,-0.000111606365,-0.00018585373,-0.00010553774,-0.00012037237,-0.00014373186,-9.716149e-05,-0.000118466254,-0.00012979824,-0.0001401244,-0.000109834866,-0.000118016964,-0.00012094145,-0.00013789303,-0.00012946344,-0.0001632415,-0.00011906226,-0.00011768619,-0.0001319965,-0.00019292238,-0.00018908033,-0.00011132129,-0.00016898566,-0.00013965048,-0.00011029064,-0.00013325167,-0.00012645977,-0.00011614989,-7.404826e-05,-0.00011699127,-0.000111079775,-0.00016102729,-0.000119919096,-0.00014441967,-8.7565895e-05,-0.0001338866,-0.00014114278,-0.000103808656
19870227,-0.00013743213,-0.0001444847,-0.0002588878,-0.000101720376,-0.00016226435,-0.00016329708,-0.0001433554,-0.0001128864,-0.00013776346,-0.00011331978,-0.00016508321,-0.00013599015,-0.00020521249,-0.00017004582,-0.00014592429,-0.00013020156,-0.00013935081,-0.00012927987,-0.00011959072,-0.000119145705,-0.00013871067,-0.00016558326,-0.00016017462,-0.00017750743,-0.00016847574,-0.00015358045,-0.0001252765,-0.00018168171,-0.00017164416,-0.00018162228,-0.00017188757,-0.00017175302,-0.00014988174,-0.00015669956,-0.00013483193,-0.00014412767,-0.0001280435,-0.00014677488,-0.00014329625,-0.00012402346,-0.00013418088,-0.00014351508,-0.00012808507,-0.00015729871,-0.0001474981,-0.00011711762,-9.090016e-05,-0.00015675103,-0.0001261957,-0.0001471419,-0.00015197782,-0.00018071574,-0.00012346708,-0.0001718863,-0.00012562452,-0.00016626516,-0.00016618118,-0.00011611953,-0.00019852929,-0.00011068611,-0.00013288173,-0.00015578144,-0.00010405175,-0.00011940758,-0.00012125066,-0.0001475842,-0.00011561027,-0.00013267297,-0.00013456897,-0.00014614931,-0.00013962612,-0.00016385439,-0.000108670916,-0.00015460605,-0.00012724154,-0.00019927042,-0.00019546307,-0.00011817846,-0.00018819101,-0.00013776038,-0.000108925764,-0.00014953878,-0.000113172806,-0.00013044372,-7.497945e-05,-0.00013377916,-0.00013349176,-0.00017834445,-0.00012058743,-0.00012978974,-9.236672e-05,-0.00014015644,-0.00015473018,-0.000105036845
19870331,-8.2451326e-05,-8.626089e-05,-0.00016014559,-6.582764e-05,-9.947578e-05,-9.872322e-05,-8.382974e-05,-6.539253e-05,-8.270759e-05,-7.0878814e-05,-9.932876e-05,-7.9481164e-05,-0.00012418909,-0.00010180916,-8.8668705e-05,-8.158651e-05,-7.940881e-05,-7.735156e-05,-7.574684e-05,-7.605543e-05,-8.909086e-05,-9.5921765e-05,-9.622254e-05,-9.951203e-05,-0.00010043188,-9.34237e-05,-7.668242e-05,-0.000107952925,-0.000101064026,-0.00011598057,-0.0001039898,-0.00010905976,-9.013355e-05,-8.828399e-05,-8.3855346e-05,-8.432286e-05,-7.913764e-05,-8.6226864e-05,-8.5286905e-05,-7.720935e-05,-8.0136655e-05,-8.7066466e-05,-7.9039375e-05,-9.6301956e-05,-8.674264e-05,-6.7939654e-05,-5.492978e-05,-9.525103e-05,-7.603857e-05,-8.6745924e-05,-9.000336e-05,-0.00010997369,-7.626804e-05,-9.971659e-05,-7.733131e-05,-0.00010171493,-9.836199e-05,-7.416058e-05,-0.00012010842,-6.24606e-05,-7.993858e-05,-9.306081e-05,-6.147098e-05,-7.1692724e-05,-7.5048214e-05,-9.220879e-05,-6.689291e-05,-8.110774e-05,-7.839525e-05,-8.8502005e-05,-8.394607e-05,-9.5790216e-05,-7.059519e-05,-9.5876974e-05,-8.080623e-05,-0.00011899208,-0.000117625474,-7.971131e-05,-0.000113680406,-8.413663e-05,-7.175851e-05,-8.106222e-05,-7.0601e-05,-7.44163e-05,-5.0965773e-05,-8.323608e-05,-7.682326e-05,-0.000109116634,-7.654992e-05,-8.186011e-05,-5.5942106e-05,-8.1678336e-05,-9.1801725e-05,-6.482321e-05
19870430,-4.1317315e-05,-4.279576e-05,-7.809939e-05,-2.9303084e-05,-4.7456728e-05,-4.756327e-05,-4.51774e-05,-3.1882097e-05,-4.2376465e-05,-3.5033318e-05,-4.7673813e-05,-4.038084e-05,-6.2151776e-05,-5.0435265e-05,-4.4469984e-05,-3.8787904e-05,-3.9359988e-05,-3.7566973e-05,-3.5676614e-05,-3.564408e-05,-4.3823657e-05,-5.0478287e-05,-5.011323e-05,-5.18962e-05,-5.0310136e-05,-4.6633675e-05,-3.603545e-05,-5.424787e-05,-4.9793332e-05,-5.689735e-05,-5.0602488e-05,-5.274099e-05,-4.8010505e-05,-4.5056826e-05,-4.085296e-05,-4.260736e-05,-3.7686146e-05,-4.482162e-05,-4.3056636e-05,-3.778468e-05,-3.9563613e-05,-4.2834847e-05,-3.8671347e-05,-4.7202313e-05,-4.574227e-05,-3.2297394e-05,-2.6529126e-05,-4.6466295e-05,-3.772817e-05,-4.3077518e-05,-4.830277e-05,-5.5883884e-05,-3.772001e-05,-4.9355433e-05,-3.779816e-05,-5.2732543e-05,-4.957084e-05,-3.4645243e-05,-5.9697628e-05,-3.1859287e-05,-4.016388e-05,-4.5776156e-05,-2.9357294e-05,-3.8167032e-05,-3.6959173e-05,-4.5676257e-05,-3.429792e-05,-4.0973086e-05,-4.6140653e-05,-4.0325227e-05,-4.754855e-05,-5.081003e-05,-4.388051e-05,-4.4208937e-05,-3.645216e-05,-5.794364e-05,-5.7184498e-05,-3.706127e-05,-5.748198e-05,-3.9230108e-05,-3.187273e-05,-3.7618425e-05,-3.4702203e-05,-3.6757752e-05,-2.4024364e-05,-4.5953468e-05,-3.914258e-05,-5.5138775e-05,-3.966777e-05,-3.9049937e-05,-2.597771e-05,-4.434189e-05,-4.679534e-05,-3.1014213e-05
19870529,-1.3022426e-05,-1.3221968e-05,-2.519057e-05,-9.325513e-06,-1.47586525e-05,-1.493818e-05,-1.4293269e-05,-1.0450043e-05,-1.39185195e-05,-1.094825e-05,-1.5203003e-05,-1.3075389e-05,-1.9891264e-05,-1.5870271e-05,-1.37472025e-05,-1.2430633e-05,-1.2274912e-05,-1.177743e-05,-1.1370403e-05,-1.1323762e-05,-1.3805469e-05,-1.593652e-05,-1.5956693e-05,-1.6769663e-05,-1.574026e-05,-1.4828767e-05,-1.0911981e-05,-1.72933e-05,-1.5678206e-05,-1.8152243e-05,-1.6267224e-05,-1.716629e-05,-1.5500907e-05,-1.4295239e-05,-1.3472345e-05,-1.3366515e-05,-1.2271762e-05,-1.4411877e-05,-1.3476715e-05,-1.21577405e-05,-1.2939835e-05,-1.3374703e-05,-1.2434567e-05,-1.4473542e-05,-1.4474622e-05,-1.0023841e-05,-8.450024e-06,-1.4438438e-05,-1.1638162e-05,-1.3888121e-05,-1.5751959e-05,-1.76939e-05,-1.2355584e-05,-1.6291864e-05,-1.178063e-05,-1.6527663e-05,-1.5873018e-05,-1.101041e-05,-1.9309999e-05,-9.973579e-06,-1.2693236e-05,-1.35107675e-05,-9.319352e-06,-1.2600902e-05,-1.4254409e-05,-1.3699418e-05,-1.1191358e-05,-1.3644273e-05,-1.4562235e-05,-1.2377211e-05,-1.5033579e-05,-1.52028715e-05,-1.425079e-05,-1.4166125e-05,-1.0918642e-05,-1.9069192e-05,-1.8684475e-05,-1.1364086e-05,-1.9291116e-05,-1.1957759e-05,-1.0533416e-05,-1.149684e-05,-1.1234276e-05,-1.1927458e-05,-7.390748e-06,-1.4731455e-05,-1.203362e-05,-1.871726e-05,-1.1928248e-05,-1.3083993e-05,-7.684132e-06,-1.3890152e-05,-1.5748403e-05,-8.70787e-06
19870630,8.392316e-05,8.563682e-05,0.00016082164,5.708696e-05,9.4228475e-05,9.6003176e-05,9.043699e-05,6.8321024e-05,8.89274e-05,6.8790345e-05,9.781183e-05,8.2397724e-05,0.00012924978,0.00010341509,8.674079e-05,7.86983e-05,8.061864e-05,7.59911e-05,7.2508774e-05,7.118298e-05,9.062811e-05,0.000101157675,0.0001017229,0.0001123635,0.000101413505,9.687594e-05,7.259167e-05,0.000113313174,0.000101615165,0.00011074749,0.00010641914,0.00010655054,9.814164e-05,9.6567106e-05,8.6698135e-05,8.499694e-05,7.7184544e-05,9.327137e-05,8.600725e-05,7.595438e-05,8.142755e-05,8.41726e-05,7.780027e-05,9.277542e-05,9.348204e-05,6.594912e-05,5.2246778e-05,9.197332e-05,7.41495e-05,8.950203e-05,0.000101011654,0.00011383092,7.660203e-05,0.00010532384,7.582885e-05,0.00010646403,0.000103266786,6.878425e-05,0.00012183996,6.4559e-05,8.200978e-05,8.498169e-05,6.1919854e-05,7.988404e-05,9.265096e-05,8.825262e-05,7.0541035e-05,8.4700245e-05,9.062797e-05,8.074066e-05,9.407455e-05,0.000102625716,8.9894274e-05,9.040182e-05,6.862079e-05,0.000120464494,0.000118247226,7.035165e-05,0.00012129369,7.50324e-05,6.419805e-05,7.17677e-05,7.2917705e-05,7.8019744e-05,5.355703e-05,9.727266e-05,7.7034245e-05,0.000117550495,7.581731e-05,8.240116e-05,5.4266875e-05,8.7125656e-05,9.78994e-05,5.7578854e-05
19870731,-2.3441715e-05,-2.4445117e-05,-4.4798126e-05,-1.48800345e-05,-2.5507314e-05,-2.6384243e-05,-2.4141218e-05,-1.8470311e-05,-2.454478e-05,-1.9194535e-05,-2.6753542e-05,-2.2994185e-05,-3.6930734e-05,-2.729118e-05,-2.2780527e-05,-1.9839945e-05,-2.1866066e-05,-2.0046897e-05,-1.8752164e-05,-1.840184e-05,-2.2166476e-05,-2.7748638e-05,-2.7954895e-05,-3.108212e-05,-2.6883823e-05,-2.6843309e-05,-1.9704878e-05,-3.1430005e-05,-2.8059161e-05,-3.055828e-05,-2.9320216e-05,-2.8997665e-05,-2.7410217e-05,-2.7471324e-05,-2.4410201e-05,-2.2940205e-05,-2.2058117e-05,-2.6137915e-05,-2.338955e-05,-2.1338052e-05,-1.863346e-05,-2.4710644e-05,-2.111822e-05,-2.6529586e-05,-2.6903497e-05,-1.789427e-05,-1.3170654e-05,-2.548201e-05,-2.0426834e-05,-2.5504247e-05,-2.6157037e-05,-3.0682273e-05,-1.9754209e-05,-2.7726213e-05,-2.0087786e-05,-2.8798098e-05,-3.0005065e-05,-1.7638578e-05,-3.4321314e-05,-1.5741378e-05,-2.1819737e-05,-2.3969265e-05,-1.5560605e-05,-2.2639726e-05,-2.5405245e-05,-2.3825785e-05,-1.8247658e-05,-2.259886e-05,-2.296897e-05,-2.1710646e-05,-2.4201905e-05,-2.9596331e-05,-1.6964028e-05,-2.367723e-05,-1.8252871e-05,-3.2187603e-05,-3.1294476e-05,-1.9465724e-05,-3.23563e-05,-1.9353418e-05,-1.7597766e-05,-1.7784498e-05,-1.7888839e-05,-1.9753641e-05,-1.253821e-05,-2.5587222e-05,-2.0463976e-05,-3.1901982e-05,-2.0271002e-05,-1.9901534e-05,-1.3822168e-05,-2.3298084e-05,-2.5972273e-05,-1.6554388e-05
19870831,5.6989247e-05,6.1034847e-05,0.000107929714,3.33556e-05,6.237919e-05,6.433872e-05,6.129698e-05,4.65982e-05,6.315275e-05,4.7223588e-05,6.549202e-05,5.7366487e-05,9.263898e-05,6.850969e-05,5.515971e-05,4.6362944e-05,5.5265064e-05,4.9389677e-05,4.569883e-05,4.3689233e-05,5.3826534e-05,7.300866e-05,7.446233e-05,7.895599e-05,6.7695e-05,6.814765e-05,4.7250087e-05,8.044482e-05,7.2224735e-05,7.479126e-05,7.4975156e-05,7.0871276e-05,7.14179e-05,7.0645096e-05,5.6993544e-05,5.7600082e-05,5.4263284e-05,6.561711e-05,5.8614514e-05,5.2575102e-05,4.485217e-05,6.2330364e-05,5.233199e-05,6.6042325e-05,6.868119e-05,4.587686e-05,3.3626056e-05,6.265392e-05,5.061495e-05,6.298906e-05,6.7056746e-05,7.634806e-05,4.7907313e-05,6.8698304e-05,4.8992875e-05,7.0591654e-05,7.790236e-05,4.26015e-05,8.4241496e-05,4.0978346e-05,5.715191e-05,6.0558996e-05,3.914551e-05,5.034074e-05,5.4032953e-05,6.11881e-05,5.14089e-05,5.609925e-05,5.8360154e-05,4.6268327e-05,6.1014154e-05,7.446597e-05,4.3923163e-05,4.416714e-05,4.467057e-05,7.904398e-05,7.743615e-05,3.9392587e-05,8.167796e-05,4.4395332e-05,3.909264e-05,3.2520886e-05,4.218001e-05,4.878806e-05,2.973685e-05,6.719694e-05,4.592593e-05,7.947619e-05,4.7907044e-05,4.7391506e-05,3.551087e-05,5.654616e-05,6.191904e-05,4.1061023e-05
19870930,3.000798e-05,3.1377567e-05,5.7092893e-05,1.889374e-05,3.292248e-05,3.2807602e-05,3.084676e-05,2.4254294e-05,3.1307034e-05,2.4244619e-05,3.4869045e-05,2.8803639e-05,4.736759e-05,3.5313613e-05,2.906619e-05,2.4423236e-05,2.8108943e-05,2.611249e-05,2.4648483e-05,2.3117705e-05,2.8045695e-05,3.6307512e-05,3.688969e-05,4.0287883e-05,3.418417e-05,3.4452103e-05,2.5164001e-05,4.013437e-05,3.637422e-05,3.85273e-05,3.778852e-05,3.608513e-05,3.575875e-05,3.57914e-05,3.128876e-05,2.9619547e-05,2.803367e-05,3.3971974e-05,3.0318382e-05,2.7140102e-05,2.3350714e-05,3.2968575e-05,2.7250544e-05,3.4500605e-05,3.6355937e-05,2.2833972e-05,1.7395403e-05,3.2651777e-05,2.5966057e-05,3.211913e-05,3.3573717e-05,3.9611732e-05,2.4778987e-05,3.5534824e-05,2.507938e-05,3.7019545e-05,3.8837043e-05,2.2394768e-05,4.349373e-05,2.0331916e-05,2.8758037e-05,3.1581287e-05,2.025881e-05,2.7837053e-05,2.75016e-05,3.212612e-05,2.4060353e-05,2.8958382e-05,3.0734005e-05,2.954324e-05,3.2282354e-05,3.9086768e-05,2.2544109e-05,2.1885557e-05,2.4377352e-05,4.001232e-05,3.8935017e-05,2.233299e-05,4.119096e-05,2.5429634e-05,2.1614023e-05,2.3039725e-05,2.4001154e-05,2.6700372e-05,1.8967923e-05,3.1440315e-05,2.492208e-05,4.0299245e-05,2.82345e-05,2.7755777e-05,1.7295277e-05,2.866273e-05,3.119102e-05,2.134189e-05
19871030,0.00021513044,0.00022750792,0.00042362718,0.00013757493,0.00024440847,0.0002442121,0.00022995239,0.00017387937,0.00022381863,0.00017279672,0.00025109414,0.00021356954,0.00034981602,0.0002569189,0.0002162996,0.00017547324,0.00019523919,0.00017702249,0.0001806428,0.0001700578,0.00021587416,0.00026114768,0.00027220795,0.00028489652,0.00024665572,0.00024589166,0.00017741158,0.00028707285,0.00025971615,0.00029963237,0.00027475884,0.00027172238,0.00026638876,0.00024679553,0.00023230136,0.0002156918,0.00021046105,0.00024510338,0.0002175372,0.00019878779,0.00017856383,0.00024107883,0.00020371942,0.0002554259,0.00025725664,0.00015872113,0.00012103065,0.0002324728,0.00018284403,0.00023861564,0.00024987807,0.0002893976,0.00018252038,0.0002584983,0.0001761868,0.00026805254,0.00028437751,0.00016722678,0.00032375162,0.00014460846,0.00020837203,0.00022563245,0.0001388264,0.00020282094,0.00018725166,0.00023073443,0.0001709854,0.00020422733,0.00022895726,0.00019777112,0.00024067865,0.00027000264,0.00016909113,0.00017001967,0.00018090104,0.00029337744,0.0002861364,0.00018122296,0.00030608408,0.00017164565,0.00016426215,0.0001849713,0.00016935641,0.00019693907,0.00012449283,0.0002271234,0.00019138155,0.0002979352,0.00020457608,0.00019475397,0.00012654651,0.00021838475,0.00023219337,0.00015595302
