DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.7982873,-0.1345033,-1.7199621,1.7922262,-0.53458977,-0.22593108,-2.0040166,0.5208909,-1.1228303,-0.3764987,0.4201489,0.03515029,-0.34647232,-0.32079148,0.5169724,0.49760103,0.027081534,1.8184205,0.6259294,0.7101816,-1.7375104,-1.2168312,-2.526229,-0.30326948,-0.6430948,-0.47280174,1.1048561,-0.57624125,-0.5189369,-0.17532629,-0.43951088,-1.2776644,-1.9468087,0.81771386,-0.15836796,-0.64650834,1.127171,-0.7389207,-0.66233885,0.64501774,0.7028842,0.06410007,0.55810755,-0.25461918,-0.83962137,-0.1741102,1.2473133,0.7038642,0.87257993,-0.13226813,-1.9529723,-0.2955796,-0.7736161,-0.14562204,1.1313834,0.7155081,-0.1866309,0.58303666,-0.35155112,0.3114631,-0.41751796,-0.09916717,0.2224676,0.34179142,-0.10544002,-0.19893809,-0.6810026,-0.18169956,-1.6311668,1.9552244,-1.423647,-0.35031372,1.2933295,1.2717803,2.6739845,1.264792,1.3423464,-0.8028531,-1.9217149,3.4857628,2.8500223,-1.1707444,2.2921226,-1.9903232,-1.2998492,-2.3543003,-2.5608633,-2.6499805,0.13187855,3.3445265,1.1153574,0.27136755,0.045454055,0.92295533
19870227,0.778702,-0.008690923,-1.8344338,1.6883019,-0.6389229,-0.32655737,-1.6962725,0.48575377,-0.9207736,-0.27281955,0.36245686,0.06574753,-0.28151268,-0.32517943,0.551696,0.44940174,0.18261164,1.6891072,0.5906116,0.67371607,-1.8404316,-1.0560429,-2.2814574,-0.23760542,-0.60347754,-0.4688037,1.0635809,-0.44292045,-0.48937517,-0.29915896,-0.42071408,-1.2425787,-1.7868179,0.8355737,-0.047828496,-0.4068274,1.0936563,-0.5860573,-0.3849486,0.6527199,0.6031139,0.0059470534,0.59444344,-0.21786009,-0.6991501,-0.031627715,1.224618,0.6852843,0.87238806,-0.28131637,-1.7340184,-0.23621073,-0.6015884,-0.22650763,1.0703975,0.7159937,-0.14942253,0.5618886,-0.33717233,0.39957008,-0.34505874,-0.035710335,0.31229866,0.3759556,0.43734294,0.0390736,-0.5525483,-0.0075285435,-1.1088974,1.7743396,-1.006064,-0.099751085,1.2660066,0.549909,2.3477225,1.0983337,1.2227861,-0.4466769,-1.7130535,3.2377403,2.5994542,-1.3545554,2.1982918,-2.1021338,-0.1897578,-2.319563,-2.322882,-2.3158064,0.41323704,2.8791697,1.5259869,0.21769035,0.09933075,1.0612963
19870331,0.6890219,-0.0775449,-1.6656381,1.7075689,-0.6586735,-0.37094018,-1.6018492,0.39696616,-0.8412902,-0.27657923,0.45086715,0.07783952,-0.29066104,-0.32236817,0.35598445,0.51303506,0.09693232,1.6715362,0.52656394,0.62115824,-1.6211126,-0.94764173,-2.1281486,-0.24449058,-0.56590337,-0.48822916,1.1612916,-0.48610818,-0.46523404,-0.53158593,-0.4314083,-1.1532545,-1.6639272,0.7642348,-0.14286399,-0.2593704,1.1191936,-0.4964745,-0.25791332,0.65415555,0.66839755,-0.009647191,0.60960877,-0.24456862,-0.5758674,0.0021609366,1.2660165,0.7131052,0.9414073,-0.31054497,-1.7017488,-0.34724998,-0.6684683,-0.20543183,0.99033535,0.6423849,-0.16504815,0.5062824,-0.44576126,0.29755378,-0.27879947,-0.04152453,0.2988591,0.08574158,-0.023005694,-0.06283575,-0.488306,-0.045923293,-1.3508068,1.876616,-1.1602883,-0.14962363,1.2253188,0.6722504,2.3241494,1.135773,1.2278612,-0.03888157,-1.3239911,3.1472855,2.3947477,-0.87994015,2.1675203,-1.8375343,-0.078517914,-2.2507129,-1.6296872,-1.9537227,-0.032464564,2.8146183,1.4498456,0.35055915,0.14150907,0.66956574
19870430,0.7739115,-0.10066077,-1.7633612,1.7107154,-0.72433114,-0.5343739,-1.9255291,0.392493,-0.9810083,-0.30124915,0.46490818,0.061425984,-0.35967678,-0.3621101,0.420739,0.5666907,0.0011520088,1.7060307,0.38928545,0.5446756,-1.7041326,-1.0084095,-2.3340194,-0.3184014,-0.5511162,-0.43566322,1.0965451,-0.5551454,-0.4369827,-0.42718524,-0.3173349,-1.2294977,-1.8676435,0.82138443,0.036961824,-0.6087838,1.0615783,-0.43211496,-0.6074662,0.6549854,0.66687393,0.04901144,0.5992119,-0.31879655,-0.73055416,-0.12928945,1.3141121,0.79043543,0.98476267,-0.28350872,-1.6728672,-0.22358608,-0.7223078,-0.12977538,1.0420458,0.5181585,-0.13373864,0.30307996,-0.40064192,0.2045259,-0.42684704,-0.019780338,0.24701318,0.14898732,0.16165225,-0.06525618,-0.6123786,-0.002757579,-1.203389,1.9602427,-1.0623292,-0.13741547,0.74142826,0.73229796,2.4812136,1.1531506,1.2493937,0.11401552,-1.4673735,3.243164,2.6161554,-0.041449547,2.3257139,-1.6843657,-0.058114737,-2.3273501,-1.3786076,-2.1428554,0.06476091,3.0548244,1.418011,0.35560653,0.1833406,0.9163263
19870529,0.641225,-0.16165492,-1.3809961,1.6360564,-0.6518022,-0.4990124,-1.5944136,0.38693944,-0.9296236,-0.3354502,0.50641364,0.06627731,-0.2868178,-0.26322967,0.44348553,0.52867675,-0.0016359389,1.539657,0.45898703,0.59306335,-1.3783871,-0.82068783,-1.9821239,-0.2802805,-0.43821436,-0.40372032,1.0455937,-0.42797893,-0.38728225,-0.3939435,-0.37942404,-0.92300916,-1.5212004,0.7673579,-0.10105595,-0.45406803,0.9799049,-0.48001325,-0.39455548,0.63373494,0.63459426,-0.05575767,0.5621647,-0.33118734,-0.6539207,-0.089826375,1.2399954,0.7392694,0.8892088,-0.2208989,-1.4695586,-0.22484021,-0.5793426,-0.22283345,0.9352795,0.24130554,-0.16560626,0.3422591,-0.4173048,0.041623175,-0.34451783,0.048190385,0.22573908,-0.0059342086,0.113288745,-0.2087617,-0.55722415,0.012629211,-0.98711604,1.8299723,-0.8938172,-0.12301707,0.63230985,0.69158685,1.922476,1.1706367,1.2678437,0.46924052,-0.98515654,3.0508442,2.3486547,0.019081801,2.2474916,-1.1399066,-0.44309062,-1.849969,-0.80813396,-1.6409943,0.17664045,2.942851,1.3192272,0.41759902,0.2804291,0.3342634
19870630,0.6555426,-0.16087991,-1.3253026,1.6493576,-0.58591783,-0.46699238,-1.4480945,0.25384596,-0.9013623,-0.43063974,0.35932544,0.045986935,-0.23954822,-0.30488026,0.534228,0.41788775,-0.006041229,1.580252,0.55362713,0.6186658,-1.4082227,-0.7147249,-1.937356,-0.28352794,-0.5084698,-0.38241184,1.066858,-0.35135326,-0.43519467,-0.2648821,-0.37307814,-0.90363383,-1.5196133,0.75691223,-0.019768298,-0.37041473,1.000807,-0.4522435,-0.3311622,0.5954234,0.66478014,-0.079116255,0.5477371,-0.35122114,-0.57342935,-0.15005341,1.1697351,0.6765522,0.83328116,-0.11323914,-1.3752066,-0.02182585,-0.5193976,-0.09695089,0.94651294,0.2714541,-0.20120478,0.4606179,-0.16252783,0.12365927,-0.3740099,0.069573194,0.13290744,-0.0104602575,-0.1298868,-0.2418368,-0.6475693,0.0016156733,-0.9853554,1.8336303,-0.9569921,-0.2595151,0.6695054,0.6354025,1.9230502,1.0822517,1.187736,0.8358452,-1.024319,2.9829683,2.3327334,-0.22655924,2.150499,-1.4534417,-0.42224813,-1.6679269,-0.7770722,-1.6118499,0.085509986,2.8620148,1.1391093,0.4868306,0.245107,0.20192325
19870731,0.39249727,-0.3012313,-1.4189501,1.6892109,-0.5851588,-0.26886863,-1.5754864,0.093817845,-0.7312234,-0.44162324,0.23731141,-0.12466848,-0.2166661,-0.3691282,-0.037819892,0.49240708,0.027985856,1.5993361,0.47743922,0.59665644,-1.1474712,-0.8488383,-1.776349,-0.35923278,-0.41477752,-0.45634675,0.9699637,-0.34451345,-0.4153026,-0.2744804,-0.320283,-1.1265413,-1.5800955,0.8345405,0.082366064,-0.46183693,0.9501344,-0.39572257,-0.44460008,0.4503795,0.6042664,-0.050644934,0.27544644,-0.431053,-0.7602436,-0.10114768,1.2390028,0.85535574,0.9777881,-0.06908041,-1.4033068,-0.18398018,-0.73160243,-0.08023402,0.87210643,0.34665534,-0.16296482,0.36299944,-0.19141783,0.43035072,-0.4624244,-0.02372837,0.3955533,0.031568274,-0.11455518,-0.18998373,-0.5669209,0.008712947,-0.8049504,1.9074417,-0.73809314,-0.08464995,1.1938541,0.5498348,1.9564846,1.0218631,1.1224136,0.92639184,-1.1544621,3.0407627,2.2949984,0.5054574,1.9889046,-1.3151513,-0.7586563,-1.6808803,-0.5784247,-1.9172444,0.17640251,2.855375,1.1759288,0.4228754,0.2130464,0.6044487
19870831,0.55303705,-0.2154638,-1.4132677,1.6059461,-0.5935861,-0.24097922,-1.7079946,0.10102233,-0.92253864,-0.4387391,0.2526295,-0.11614299,-0.24568737,-0.27902618,-0.07121748,0.51160246,0.2595711,1.6441921,0.5471548,0.61367714,-1.1219566,-1.1059427,-1.9604031,-0.37622702,-0.5812731,-0.53706706,0.8951169,-0.31156415,-0.48040527,-0.3645202,-0.3123144,-1.164662,-1.695493,0.8630841,0.1199567,-0.42169082,0.9822626,-0.45752016,-0.40215668,0.50643086,0.5821881,-0.061514318,0.27927864,-0.4162656,-0.8600507,-0.019279122,1.2182217,0.8256749,0.9582343,-0.10377237,-1.5666442,-0.19146335,-0.6758788,-0.15118161,0.88905865,0.17653012,-0.19671102,0.36668894,-0.20880394,0.51445925,-0.74755096,0.12006402,0.5375674,0.12289956,-0.22274722,-0.027306765,-0.4735173,0.09413153,-0.6678293,1.7230868,-0.6102118,0.012577221,1.0859036,0.984853,2.024844,1.0820119,1.2037961,0.56948686,-1.3392469,3.0141509,2.4553347,-0.08161372,2.3244827,-1.4836136,-0.46966118,-1.9541824,-0.93595815,-1.9994454,0.30552176,3.004371,1.1623218,0.5719086,0.29301462,0.41465995
19870930,0.4640661,-0.21506007,-1.4079936,1.7098453,-0.5684855,-0.21118127,-1.6341567,0.07075332,-0.95368975,-0.4552284,0.16429958,-0.17857748,-0.28962046,-0.27724227,0.030413091,0.50787,0.15878716,1.5874336,0.5289401,0.5971409,-1.2124273,-0.977012,-1.8865746,-0.34524494,-0.5993224,-0.5249487,0.9817985,-0.33819574,-0.44021666,-0.2785884,-0.33242914,-1.071657,-1.6018509,0.8227178,0.09741442,-0.41559535,0.95913947,-0.5790239,-0.43199354,0.32492393,0.43445814,-0.050557345,0.08763167,-0.36903012,-0.86434615,-0.07086891,1.2131879,0.77319026,0.9154084,-0.12837198,-1.4836373,-0.11995399,-0.66599154,-0.13369438,0.9612336,0.2977558,-0.17943487,0.37401116,-0.19794694,0.47990316,-0.7173424,0.061163276,0.6190439,-0.03701383,-0.1792557,0.027084216,-0.5395843,0.14905712,-0.8606303,1.8324432,-0.80566585,-0.06772587,1.1721548,1.251406,2.0036507,1.1608522,1.3459668,-0.052178234,-1.1839029,3.1575294,2.5580106,0.7551874,2.1080008,-1.3213091,-0.8599987,-1.9048785,-1.0732113,-1.9029086,0.06337948,2.988089,1.2601986,0.34750825,0.20505899,0.4376598
19871030,0.3692158,-0.21121195,-1.2549394,1.5357869,-0.8026897,-0.37968028,-1.5124207,0.2234173,-0.7459,-0.39900815,0.36548734,0.0467937,-0.2155924,-0.1771948,0.06169787,0.6071899,0.09426269,1.5103514,0.6115632,0.6376126,-1.1587468,-0.79214174,-1.7408466,-0.22918877,-0.5587898,-0.45449704,0.96492916,-0.20847079,-0.33138162,-0.33158046,-0.19502147,-1.0794883,-1.4945906,0.82540894,0.08934264,-0.3301984,0.7929701,-0.31794202,-0.3612061,0.36306754,0.5373548,0.05669819,0.1506956,-0.41052556,-0.6476086,-0.1643813,1.2378343,0.7392975,0.9614255,0.0066637695,-1.2660302,-0.14350906,-0.82850397,0.015149847,0.86744356,0.16923589,-0.04705918,0.53247935,-0.27256954,0.418652,-0.64008975,0.08623706,0.6082622,-0.111899525,0.034381315,-0.037831545,-0.50481254,0.07977478,-1.0436941,1.8763336,-0.92880034,-0.13283002,1.1017591,0.9665936,1.965837,1.3529539,1.4998258,-0.4710769,-1.0690774,3.1748161,2.3340049,0.37713563,2.1441984,-1.2841973,-0.76955676,-1.8104903,-1.4404991,-1.7433807,-0.15905377,2.9998167,1.1663141,0.46974802,0.32126194,-0.01960203
