DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.4556606,0.16255614,-3.182939,2.282568,-0.9127755,-0.3829916,-2.6436498,0.98066664,-1.501006,-0.40438625,0.455998,0.15093118,-0.5273628,-0.23023897,0.47218624,0.45667052,0.46008018,2.513001,0.8633123,1.0138813,-2.8617008,-1.6839646,-3.6434321,-0.18363786,-0.84105504,-0.57163167,1.7405744,-0.80380404,-0.5526124,-0.7818024,-0.6490488,-2.15606,-2.8012843,1.4260131,-0.18969047,-0.8563169,1.4293127,-1.1129985,-0.9043057,0.49654388,0.8679729,0.28617972,0.3340116,-0.27782986,-1.360924,0.07757223,1.6480842,0.8760621,1.2840602,-0.18646926,-2.7397728,-0.5346427,-1.2906591,-0.2202515,1.7435354,1.0832871,-0.18053651,0.8159011,-0.74423444,0.8179874,-0.49308357,-0.21924275,0.52650476,0.18525273,-0.16482395,-0.38006216,-0.6380303,-0.40864572,-2.2353222,2.7208157,-2.0186324,-0.36420903,1.8290672,1.7850981,3.3553138,2.2169201,2.339449,-1.5692499,-3.1408994,4.7718887,3.4926696,-1.8119701,3.2803016,-2.784789,-1.9062557,-3.2069547,-3.9364648,-4.177152,0.1802904,4.3756824,1.5550389,0.9563291,0.07975763,0.6434099
19870227,1.4375463,0.36791903,-3.34784,2.2096457,-1.069297,-0.51585436,-2.2521799,1.0030384,-1.2279687,-0.24449453,0.2544516,0.18797255,-0.43245414,-0.2925647,0.5411952,0.39932606,0.6670035,2.403174,0.83866537,0.974303,-2.9717894,-1.5237199,-3.3227813,-0.12853813,-0.8277682,-0.57561773,1.6858222,-0.59886694,-0.540903,-0.9784178,-0.6170982,-2.136787,-2.630353,1.4179759,-0.074745834,-0.5601597,1.4072044,-0.9009394,-0.5472745,0.5186517,0.5762818,0.07589483,0.39792836,-0.24960697,-1.1856844,0.35592028,1.612676,0.84574705,1.2883015,-0.3766559,-2.477592,-0.48572883,-1.0437443,-0.3075697,1.6566331,1.10264,-0.11016607,0.79942673,-0.751485,0.8949433,-0.42237452,-0.13288546,0.6735194,0.4079895,0.5458698,-0.07146996,-0.51128846,-0.1335144,-1.5098672,2.5124729,-1.4280254,-0.035048306,1.8448279,0.8977927,3.018528,2.1136465,2.2915406,-1.0608753,-2.8982558,4.5691004,3.24747,-2.0489728,3.3141017,-3.0525372,-0.12163353,-3.16455,-3.673492,-3.763097,0.5940457,4.0503163,2.0410542,0.98990977,0.43125108,0.7774862
19870331,1.3147459,0.24975497,-3.0655665,2.22287,-1.0570716,-0.5445646,-2.1107235,0.96135247,-1.1110396,-0.23980188,0.46256265,0.24596146,-0.4546631,-0.26962095,0.35095876,0.50638,0.5915986,2.3656912,0.69187015,0.82687515,-2.6099172,-1.3644224,-3.0606825,-0.20428663,-0.7870462,-0.62805533,1.7626871,-0.68262804,-0.49192628,-1.2547121,-0.6295688,-1.9773431,-2.4353473,1.147955,-0.20638007,-0.3708298,1.4335009,-0.77030325,-0.38602012,0.50850976,0.7231504,0.006553948,0.42390367,-0.3053913,-1.0107033,0.42183018,1.6796985,0.9382522,1.3785726,-0.40952712,-2.4510155,-0.6588473,-1.121358,-0.31707945,1.5747296,0.96497697,-0.15148318,0.67159384,-0.9027983,0.87319505,-0.3624423,-0.1264463,0.6957084,0.025694609,-0.013812184,-0.24729702,-0.4391872,-0.28186315,-1.876369,2.578208,-1.6773655,-0.09951472,1.7871823,1.0219228,2.986068,2.2059984,2.337039,-0.2091958,-2.4199615,4.478438,2.988696,-1.4717767,3.25801,-2.7600682,0.10065395,-3.0686667,-2.6444209,-3.2287405,-0.12688184,3.9532132,1.9171646,1.1638882,0.68455213,-0.037721753
19870430,1.4304479,0.19940123,-3.1970716,2.2380018,-1.1035935,-0.7584368,-2.5827787,0.9338659,-1.3190553,-0.27354363,0.5115445,0.18439898,-0.59994656,-0.3270109,0.453032,0.6915386,0.4605825,2.3423831,0.5617567,0.67396724,-2.6880913,-1.4612148,-3.3557007,-0.2926467,-0.7578716,-0.53308815,1.7250166,-0.8372897,-0.44038558,-1.0648448,-0.39603713,-2.0998333,-2.7393048,1.2050079,0.022978067,-0.84307444,1.3565513,-0.6936899,-0.8723607,0.5034639,0.7143019,0.21611124,0.40735027,-0.41045517,-1.2444017,0.10954499,1.7041256,1.00007,1.3972149,-0.39181778,-2.4017751,-0.4659494,-1.1993617,-0.24014384,1.6379128,0.8465315,-0.083799124,0.49553302,-0.7895484,0.6856096,-0.5259608,-0.09200585,0.6043838,0.16796577,0.2486226,-0.26024267,-0.60037434,-0.14342707,-1.7106178,2.6796308,-1.5652155,-0.20328736,1.1086905,1.095199,3.1739948,2.2038622,2.340299,-0.021602988,-2.5820382,4.583619,3.2532234,-0.23723418,3.4072533,-2.5568528,0.11161506,-3.2127059,-2.2906775,-3.5236647,0.03917092,4.207526,1.9035558,1.1346602,0.6817312,0.31516084
19870529,1.2589754,0.06708604,-2.7190216,2.1617572,-1.0092336,-0.6858673,-2.1403685,0.89430857,-1.2681634,-0.3516174,0.5508168,0.17917031,-0.49170557,-0.16374421,0.5365774,0.47068343,0.44512606,2.1467173,0.5429847,0.65825886,-2.255288,-1.2181562,-2.9120152,-0.24853113,-0.6130718,-0.49544466,1.6336415,-0.61664903,-0.35854533,-1.0376261,-0.55913424,-1.6880424,-2.2721195,1.0969349,-0.16389161,-0.6247867,1.2379484,-0.7773106,-0.58001506,0.47856534,0.65351236,-0.11915302,0.35563624,-0.43644762,-1.1406759,0.19101524,1.5844157,0.9403827,1.288498,-0.3232966,-2.146225,-0.46770063,-1.0166073,-0.32206863,1.4627061,0.5749134,-0.17655575,0.4568762,-0.807683,0.5867847,-0.46525106,0.07731092,0.60028875,-0.09625232,0.23002106,-0.42541873,-0.5354852,-0.119549334,-1.4177476,2.5118096,-1.3429743,-0.106515944,0.98901606,1.0657645,2.529172,2.2205024,2.367397,0.50660115,-2.055793,4.3042736,2.983662,-0.16987109,3.3397408,-1.9228786,-0.5960408,-2.4959655,-1.5279242,-2.9328725,0.3746549,4.0759273,1.8057909,1.2190925,1.1563218,0.07098609
19870630,1.2838967,0.10743737,-2.5988538,2.1707258,-0.9470209,-0.65663815,-1.8791873,0.7759091,-1.2078001,-0.4957155,0.32845354,0.15962476,-0.38007972,-0.21807301,0.6552561,0.2203052,0.43547702,2.2152963,0.6731049,0.749176,-2.3066056,-1.0405978,-2.8174536,-0.18502414,-0.6888876,-0.41505042,1.6277411,-0.42661783,-0.4107222,-0.85414106,-0.5119067,-1.629681,-2.2313468,1.1421152,-0.04446298,-0.51450074,1.273139,-0.7201303,-0.50030345,0.39829051,0.747758,-0.164927,0.3635627,-0.44586554,-1.007535,0.0619784,1.5100443,0.7060837,1.2126088,-0.17931074,-1.9652023,-0.19889003,-0.9283515,-0.18126643,1.4718626,0.5900474,-0.23587114,0.60023534,-0.43507767,0.6367084,-0.46668708,0.121468365,0.48071527,-0.07782608,-0.34889036,-0.46997112,-0.65214676,-0.16482353,-1.3450551,2.5056062,-1.3661271,-0.31578162,1.0274581,0.9881097,2.4940572,2.136558,2.2892003,1.062262,-2.044458,4.157802,2.9199765,-0.47133645,3.1698763,-2.3637202,-0.57034767,-2.217258,-1.4662086,-2.8038492,0.2615351,3.9725838,1.5760286,1.2929243,1.0648915,-0.07086843
19870731,1.0378075,-0.21521205,-2.7825613,2.1614428,-0.89730775,-0.41025457,-2.0668418,0.5736228,-0.9347658,-0.56104404,0.22887838,-0.17106062,-0.36995876,-0.29871413,-0.25910872,0.37245944,0.45558017,2.1567142,0.5713369,0.675778,-1.8659723,-1.2286276,-2.5185106,-0.30203122,-0.4815305,-0.5714776,1.4694946,-0.42141294,-0.37478235,-0.8464164,-0.44390944,-1.9512526,-2.2977836,1.3494462,0.17411679,-0.5900491,1.0656708,-0.67813253,-0.6123203,0.22259471,0.55333835,-0.079871,0.05503297,-0.6180254,-1.2927097,0.16336697,1.5752504,1.1019169,1.3737974,-0.136482,-1.9504509,-0.38242772,-1.1813471,-0.14031345,1.3927194,0.62302864,-0.12407714,0.46956465,-0.48904243,0.84531605,-0.5399277,-0.09306049,0.70042294,0.042159438,-0.3817121,-0.39089838,-0.52526015,-0.12481922,-1.0318437,2.5464697,-1.022216,-0.06040138,1.6717432,0.82242775,2.498236,2.0038486,2.143371,1.1673118,-2.2207165,4.140948,2.8266406,0.47873873,2.9820824,-2.2166955,-1.0973535,-2.1770346,-1.195717,-3.2665298,0.40765512,3.9382567,1.6216977,1.243968,1.00392,0.19965202
19870831,1.1994889,-0.08417475,-2.755104,2.1015687,-0.89982367,-0.35972843,-2.2683113,0.58490276,-1.1958183,-0.5770844,0.21378079,-0.1433292,-0.43030247,-0.15660906,-0.32088932,0.3978458,0.65496534,2.2770267,0.6469284,0.7068736,-1.8869472,-1.5939739,-2.7861838,-0.33107582,-0.7824538,-0.76105654,1.4090791,-0.36722717,-0.5572864,-0.9907158,-0.44295132,-1.9909499,-2.4647202,1.3764468,0.37354386,-0.5515852,1.1973827,-0.7574781,-0.5695263,0.30279765,0.55552745,-0.114994705,0.053049684,-0.62404466,-1.4127661,0.33194363,1.5621915,1.100039,1.3909005,-0.18260342,-2.1803505,-0.38142106,-1.0959401,-0.19995248,1.4091451,0.4571125,-0.20424527,0.4900623,-0.5204374,0.89320314,-0.9243839,0.29222208,0.84686506,0.23980853,-0.36855844,-0.15066284,-0.46056384,0.0060105324,-0.84814644,2.455853,-0.87477624,0.3165455,1.5915523,1.4455149,2.6104312,2.14403,2.3141448,0.67728853,-2.4238138,4.2955112,3.0641165,-0.33578962,3.4057856,-2.4253898,-0.69405997,-2.5759914,-1.6761142,-3.3734663,0.47739086,4.143421,1.6024079,1.4166923,1.1977392,0.25120902
19870930,1.1439822,-0.06923878,-2.7778914,2.1590729,-0.8774406,-0.32184756,-2.1970186,0.5377177,-1.2536542,-0.5995591,0.16589823,-0.24051696,-0.45118573,-0.13672417,-0.061578274,0.334642,0.6045484,2.224432,0.6162127,0.65466547,-2.003051,-1.4189482,-2.6999283,-0.29575664,-0.8179816,-0.6882112,1.444051,-0.32875055,-0.39936453,-0.89232004,-0.4097023,-1.8875179,-2.3721423,1.3428051,0.2672081,-0.55325603,1.0978938,-0.9293784,-0.6175362,0.18618256,0.33878666,-0.08515751,-0.049203932,-0.5307765,-1.4522597,0.2229332,1.5754869,0.99486136,1.3733989,-0.21142507,-2.0945733,-0.3292633,-1.0986689,-0.20925248,1.5493021,0.58788717,-0.14156872,0.503144,-0.5349754,0.914532,-0.89189255,0.11498198,0.9864174,-0.10561949,-0.27782947,-0.09575999,-0.5301479,0.08705604,-1.175424,2.5644507,-1.1926967,0.05745083,1.7122321,1.7833984,2.5922217,2.2332292,2.4820323,-0.20035195,-2.2783089,4.4552093,3.1682873,0.87822646,3.164521,-2.1765647,-1.2440623,-2.557936,-1.9223766,-3.2617996,0.12925795,4.083397,1.7067609,1.2042022,0.97001487,0.17260301
19871030,1.1042609,-0.043997884,-2.598364,1.988265,-1.1904082,-0.5426737,-2.0304675,0.7648989,-0.96919334,-0.52842355,0.43187714,0.17990959,-0.32592076,0.0404163,0.04421538,0.6542939,0.54320157,2.161006,0.7327998,0.7438608,-1.9545171,-1.1444025,-2.4931636,-0.13911301,-0.7470728,-0.53620076,1.4823439,-0.13224769,-0.194633,-0.9774121,-0.16884422,-1.9007002,-2.2329073,1.3224556,0.24836317,-0.4672193,0.70818764,-0.56592464,-0.5370863,0.1526879,0.47901556,0.28736982,-0.025265276,-0.59093964,-1.110825,0.057277203,1.6383461,0.8881571,1.4352198,-0.061576962,-1.788867,-0.36438826,-1.3075535,-0.032628655,1.4000453,0.50084084,0.23130673,0.64296234,-0.6632579,0.859717,-0.7804014,0.14552417,0.98423994,-0.23572195,0.12373504,-0.20507985,-0.4642131,-0.011379659,-1.4336307,2.687578,-1.3525333,-0.05195993,1.6307802,1.4405077,2.529176,2.4521298,2.6621037,-0.9558501,-2.1337194,4.522445,2.914303,0.42839232,3.2043872,-2.0269463,-1.1059626,-2.4349198,-2.3930407,-3.0492156,-0.33537138,4.0964365,1.6547173,1.3279217,1.2313235,-0.08256084
