DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,0.7177306,0.22170295,-1.3142353,0.49083966,-0.32049042,-0.15452135,-0.828645,0.76415205,-0.55787385,-0.16759077,0.024867903,0.14961305,-0.17827165,-0.041063584,0.19262728,0.3480116,0.27934265,0.8506138,0.4536243,0.48249575,-1.1595486,-0.4207239,-1.2166241,-0.058039725,-0.25244066,-0.1409491,0.67031753,-0.21871954,-0.11503245,-0.34058374,-0.17848891,-0.886528,-0.8810016,0.29625356,-0.10014558,-0.2911934,0.4838896,-0.35924703,-0.3322111,-0.012354432,0.21488914,0.040628888,-0.06045582,-0.039650287,-0.46747705,0.09168294,0.61924034,0.14637929,0.7365838,-0.106920585,-0.87886924,-0.28179693,-0.4994775,-0.13926709,0.67636716,0.4879947,-0.013923518,0.43716863,-0.3396357,0.43385297,-0.19088146,-0.11061485,0.36187047,0.05737731,-0.15164287,-0.15297563,-0.2198079,-0.13915084,-0.6692144,1.0707226,-0.5969822,-0.048403136,0.79295015,0.77134216,1.397981,1.5434568,1.5888882,-0.55063266,-1.071275,2.104571,1.4669532,-0.7021898,1.582869,-0.93138885,-0.85286033,-1.1611813,-1.3244433,-1.5758263,0.11271165,1.9702594,0.6058246,0.6366423,0.3712746,0.31539875
19870227,0.7316113,0.33347192,-1.3466455,0.45107988,-0.35847694,-0.19012369,-0.7052423,0.8130087,-0.47025418,-0.11942354,-0.011856416,0.15534228,-0.17640482,-0.05796331,0.25101987,0.34558374,0.40927213,0.84177804,0.45579165,0.47550443,-1.1759541,-0.37892038,-1.1109558,-0.04573552,-0.2491078,-0.15105678,0.666867,-0.18320397,-0.11076336,-0.38975072,-0.1729662,-0.8842251,-0.82985824,0.31351742,-0.062397603,-0.19805968,0.46606424,-0.28512335,-0.22296542,-0.007126054,0.058760982,-0.010138342,-0.042081866,-0.04180233,-0.40505916,0.22665234,0.613384,0.110184886,0.7589257,-0.1632143,-0.78251153,-0.2683846,-0.43004206,-0.16296735,0.6483318,0.49194282,0.024297982,0.42652363,-0.3279398,0.45926633,-0.16568366,-0.08524131,0.45487282,0.12223353,0.25855884,-0.058405668,-0.184174,-0.051341757,-0.46275908,1.0081978,-0.437477,0.050359435,0.7856043,0.39657035,1.2705585,1.5957313,1.6461524,-0.40061194,-1.0291269,2.085406,1.3820949,-0.7451994,1.7095222,-1.0269371,-0.26823908,-1.0998334,-1.222313,-1.4438468,0.2269996,1.9377975,0.8238026,0.8427711,0.5425565,0.3454212
19870331,0.6938637,0.25971797,-1.2503694,0.45460656,-0.35356194,-0.1955664,-0.68243426,0.8258092,-0.45215356,-0.10740708,0.029051337,0.20913857,-0.1885488,-0.056737594,0.16279116,0.3696447,0.3584021,0.8490494,0.41806433,0.44025594,-1.0638709,-0.3560692,-1.0392791,-0.07482566,-0.2553509,-0.16675183,0.7052865,-0.2087554,-0.11301652,-0.4503764,-0.18597592,-0.81289995,-0.77365816,0.19470833,-0.10301727,-0.13767292,0.48615897,-0.26836485,-0.16694528,-0.011571649,0.14761399,-0.02920995,-0.0371624,-0.04672997,-0.3620273,0.263937,0.66140026,0.16238537,0.83606917,-0.19405255,-0.7927457,-0.31809074,-0.44413802,-0.18730539,0.63067263,0.4530915,-0.010549851,0.38829598,-0.37641406,0.4765225,-0.14931531,-0.08499,0.47977242,-0.012221358,-0.037560605,-0.11637065,-0.16120219,-0.0922184,-0.57801247,1.040512,-0.5106974,-0.0072400924,0.76450884,0.5090451,1.2550979,1.6932484,1.7325182,-0.12348787,-0.84329116,2.0649152,1.261088,-0.63288575,1.6897942,-0.96723616,-0.17704472,-1.0594128,-0.87612456,-1.2570086,0.030831937,1.9156634,0.7441837,0.9819237,0.76913553,0.22573236
19870430,0.716561,0.24513748,-1.3072709,0.43954617,-0.36707819,-0.26113763,-0.8038297,0.824955,-0.5182122,-0.11525228,0.045123708,0.18054862,-0.21998946,-0.06497629,0.20864248,0.44971493,0.29616666,0.8097218,0.30722055,0.31985173,-1.0946312,-0.36096987,-1.1149832,-0.09779276,-0.23311073,-0.13291045,0.68713105,-0.24151981,-0.08882999,-0.40919906,-0.12804419,-0.85599536,-0.8499564,0.24023455,-0.03558511,-0.27070203,0.442294,-0.22947186,-0.31338155,-0.017717468,0.13901283,0.013839848,-0.045261037,-0.088216476,-0.4083326,0.11117351,0.6631424,0.1828433,0.8115022,-0.18992272,-0.7545418,-0.2714414,-0.4783892,-0.15856726,0.6559437,0.32595247,0.039898973,0.25274628,-0.3419587,0.4195424,-0.20584923,-0.041356638,0.4332643,0.06465582,0.03310711,-0.10072312,-0.21618879,-0.04317844,-0.5045041,1.079468,-0.45598105,-0.006377334,0.5758198,0.55708724,1.343461,1.7042841,1.7405702,0.03993199,-0.87233853,2.1255503,1.3787295,-0.16632521,1.7148871,-0.83768153,-0.19023414,-1.050494,-0.64589053,-1.3094623,0.1019526,1.9955193,0.7538848,0.94715035,0.8228993,0.2826021
19870529,0.6908977,0.21251385,-1.1405706,0.38636696,-0.36540863,-0.25224742,-0.6420016,0.8121877,-0.48579445,-0.13967177,0.054522056,0.17295827,-0.18625383,-0.008414311,0.24453767,0.36023194,0.2822702,0.7538762,0.31100073,0.31065208,-0.9426616,-0.2877156,-0.94455254,-0.07312758,-0.1972849,-0.118286856,0.6566121,-0.17331062,-0.065011054,-0.39807546,-0.15595159,-0.7285566,-0.68408805,0.20245904,-0.09478812,-0.19796005,0.3712127,-0.2510242,-0.21551292,-0.031103915,0.088591084,-0.053688206,-0.061438665,-0.082755044,-0.3693654,0.14822865,0.59566116,0.15425235,0.79572964,-0.15391067,-0.6482909,-0.26515883,-0.41681188,-0.18542868,0.5982585,0.15853342,-0.0047289208,0.23609868,-0.33648086,0.37699264,-0.18879062,-0.002533581,0.43676776,-0.02995875,0.023492105,-0.17306381,-0.19789314,-0.047897615,-0.4393348,1.0288429,-0.40994972,0.019679075,0.50709915,0.54074395,1.1010761,1.6574624,1.7076008,0.42152306,-0.67985106,2.024968,1.2526814,-0.19940017,1.6787183,-0.6411732,-0.37990063,-0.76286066,-0.4083481,-1.0296816,0.10969811,1.9183816,0.7025844,0.88284516,0.95649874,0.13129157
19870630,0.71005964,0.21244809,-1.1059595,0.38002825,-0.36017528,-0.25604573,-0.5829879,0.7847731,-0.47506332,-0.18248874,-0.0076934732,0.1793072,-0.1545276,-0.024361908,0.29836226,0.2630737,0.26329228,0.7959291,0.4031997,0.38141593,-0.96556425,-0.25727725,-0.92269063,-0.060129866,-0.21148467,-0.1028879,0.64524674,-0.116006374,-0.081101514,-0.36077473,-0.14254677,-0.69840467,-0.679045,0.21718459,-0.06264508,-0.16900821,0.40330708,-0.23428091,-0.19441533,-0.044841174,0.15117921,-0.07674386,-0.049842376,-0.08615332,-0.33642736,0.08922227,0.56922585,0.044953972,0.74851656,-0.110502206,-0.60344875,-0.18440686,-0.3906082,-0.13992496,0.6113869,0.1900715,-0.038767733,0.31178936,-0.24662209,0.3996944,-0.18389189,-0.005420264,0.38170946,-0.018441502,-0.22226791,-0.16129145,-0.23970976,-0.088230394,-0.400701,1.0348785,-0.3988264,-0.030410746,0.51252973,0.48092088,1.1101058,1.658444,1.7075877,0.71881455,-0.6742188,1.9915617,1.2369285,-0.2735004,1.6204019,-0.7770084,-0.353328,-0.6886374,-0.3733513,-0.9795663,0.06099443,1.8815669,0.6437537,0.9236515,0.90814364,0.112267405
19870731,0.6438701,0.06322962,-1.148642,0.30710956,-0.3352067,-0.1760244,-0.6340442,0.6298351,-0.38780507,-0.22471,-0.0221962,-0.058325384,-0.11616656,-0.023410538,-0.048558608,0.35930222,0.29001203,0.76160896,0.28687742,0.26932493,-0.7939552,-0.2958183,-0.7734271,-0.093833014,-0.16015077,-0.130451,0.57916135,-0.08138904,-0.04189764,-0.35844055,-0.096267894,-0.81701934,-0.703494,0.34957725,0.026823804,-0.17794919,0.21073592,-0.2199921,-0.21942846,-0.083224766,0.029167019,-0.019074952,-0.12320183,-0.12704211,-0.4382898,0.15644665,0.5709415,0.24406642,0.7512151,-0.09442813,-0.609694,-0.24497002,-0.4905905,-0.123721525,0.55934525,0.21866076,0.03541976,0.19186985,-0.24577598,0.43294376,-0.1925416,-0.037731953,0.5139767,0.05389052,-0.21554035,-0.13653004,-0.19024056,-0.06423476,-0.31100297,1.0287,-0.29519573,0.050791312,0.749314,0.43060887,1.0819936,1.5830724,1.6368625,0.74659514,-0.7363016,1.963669,1.165497,0.064018294,1.521373,-0.72198296,-0.5420453,-0.7067,-0.25350162,-1.1377728,0.082027845,1.831035,0.6536555,0.89064056,0.86666,0.15965782
19870831,0.67918116,0.1319814,-1.1342064,0.32901642,-0.33220595,-0.15301773,-0.6753359,0.6104185,-0.45885387,-0.22955565,-0.032582246,-0.0460278,-0.12271616,0.04861523,-0.06098604,0.38357136,0.38422903,0.7996949,0.38194576,0.348365,-0.75896716,-0.34672672,-0.8258701,-0.09045087,-0.21652749,-0.16044495,0.569718,-0.052117325,-0.07873432,-0.37428662,-0.07738786,-0.81916505,-0.7166722,0.3899316,0.08061208,-0.1589875,0.2757751,-0.23564829,-0.2070179,-0.06602115,0.04170974,-0.020155702,-0.1275992,-0.11753224,-0.44400755,0.23894662,0.5849094,0.25719166,0.7640362,-0.11636983,-0.6414766,-0.23434529,-0.4660529,-0.15004416,0.5737711,0.1479926,0.03650802,0.23511858,-0.23709914,0.453203,-0.27370632,0.13150913,0.52039945,0.14826174,-0.17980321,-0.04672867,-0.16618001,0.013877863,-0.25991517,0.9647857,-0.23975427,0.24980497,0.71457994,0.665671,1.1496474,1.5973128,1.6547326,0.21293947,-0.76591706,2.0051477,1.3282056,-0.24685511,1.6657054,-0.75335085,-0.44352412,-0.78718424,-0.49996737,-1.1507142,0.122598894,1.9312801,0.6536463,0.9103635,0.905871,0.16179922
19870930,0.66686404,0.11054669,-1.1490183,0.30680934,-0.33739236,-0.14562869,-0.69095343,0.58211803,-0.51378417,-0.24540721,-0.04921361,-0.08908072,-0.15036836,0.05807652,-0.010193659,0.3525131,0.3590256,0.75899947,0.36024576,0.32392552,-0.82217705,-0.34870434,-0.850388,-0.09772387,-0.24287,-0.16724062,0.559042,-0.07276486,-0.06643882,-0.35281843,-0.09373899,-0.81353915,-0.7316855,0.32860205,0.06485235,-0.17850617,0.2268412,-0.30597085,-0.23898625,-0.08520389,-0.024934234,-0.04204222,-0.15546443,-0.10518202,-0.505588,0.1636515,0.58443433,0.18632145,0.7569069,-0.11984381,-0.66227525,-0.22643742,-0.46463782,-0.151673,0.6060941,0.19765459,-0.017368117,0.25932124,-0.2548741,0.44540444,-0.3058491,0.041892342,0.6006781,-0.009977188,-0.13189606,-0.029075127,-0.19379711,0.0378202,-0.36686942,0.9933055,-0.35189766,0.0797715,0.76091796,0.765542,1.1351528,1.6001605,1.688901,-0.09940596,-0.7637472,2.0324295,1.3323998,0.21222939,1.6044879,-0.6881663,-0.58526534,-0.86916536,-0.6141253,-1.1663041,0.013336581,1.8988242,0.67057264,0.8433505,0.7755458,0.15299405
19871030,0.6507849,0.15542921,-1.0914896,0.2498659,-0.41195858,-0.19809581,-0.6198525,0.66752017,-0.41584972,-0.22075363,0.021465786,0.13512173,-0.119890064,0.1788155,0.038339913,0.45791152,0.3145934,0.7527211,0.42588046,0.37301612,-0.80534077,-0.272,-0.76087034,-0.04767079,-0.21733338,-0.12892371,0.58783543,0.045930956,0.049414102,-0.37528542,-0.024028929,-0.79822195,-0.6692527,0.36139166,0.06579462,-0.14552665,0.06932479,-0.20217572,-0.2096779,-0.1059252,0.0071740607,0.1002748,-0.15423048,-0.1145722,-0.37164092,0.084039986,0.59912705,0.11939008,0.76501966,-0.062793344,-0.5539054,-0.23485376,-0.5189102,-0.08654011,0.5543816,0.13409948,0.1782214,0.32368568,-0.28232494,0.43165722,-0.26355803,0.020873245,0.60082436,-0.07602445,0.050801903,-0.06813394,-0.16706175,0.008465042,-0.43064722,1.0558059,-0.39105248,0.038833853,0.73344994,0.677359,1.1201558,1.6586144,1.7379092,-0.3451437,-0.7154997,2.0614634,1.2474507,0.052391607,1.6212084,-0.61946714,-0.5354675,-0.7972577,-0.7726165,-1.0796498,-0.12181968,1.9055799,0.66999626,0.8883948,0.91380256,0.11622063
