DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.249166,0.12314037,-3.1449842,1.033092,-1.2198052,-0.74897164,-2.9332254,0.8496524,-1.6656171,-0.5746998,0.18448696,0.15953547,-0.5748568,-0.5844349,0.35713443,0.46316907,0.22073045,1.8268456,0.7031036,0.7584851,-2.678751,-1.7686312,-3.488843,-0.9098441,-1.1303519,-0.92832637,1.4007748,-0.7499374,-0.83246726,-0.77107835,-0.7496666,-2.2393541,-2.8399777,0.69414914,-0.36051413,-1.0088391,0.90319765,-1.0014086,-1.0349557,0.051020697,0.3553918,0.14490375,-0.052503504,-0.4966393,-1.4929043,0.122850224,1.0639845,0.5245409,1.0781281,-0.49406248,-3.0527847,-0.87257046,-1.2341123,-0.6515774,1.3564491,0.8609692,-0.18789914,0.6591681,-0.94271886,0.5056866,-0.92329973,-0.36976802,0.49471372,0.14467028,-0.2702047,-0.31673747,-1.0153975,-0.34868005,-2.0144303,2.1150398,-1.7944143,-0.16933091,1.4917811,1.4579023,3.355223,1.5856733,1.680109,-1.0788517,-3.4977036,4.2204385,2.9283934,-1.8698673,2.384503,-2.3884254,-1.9995079,-3.2895987,-2.7766426,-4.3752804,0.18097147,3.3246121,1.4106222,0.31162623,-0.20008463,0.59594434
19870227,1.2677479,0.23251963,-3.159998,1.0456598,-1.2666116,-0.7914376,-2.8051915,0.9086273,-1.5273538,-0.5560018,0.1391677,0.14804006,-0.6446018,-0.5356877,0.4272867,0.495515,0.37419665,1.8150263,0.69495416,0.7287062,-2.725304,-1.6520388,-3.3535008,-0.8739955,-1.0932157,-0.8891596,1.3739847,-0.6194596,-0.7044356,-0.89244413,-0.66996574,-2.2401474,-2.8328257,0.705006,-0.2716712,-0.8954415,0.90231615,-0.8789666,-0.9264946,0.055249527,0.24570632,0.1213795,-0.02730956,-0.47888926,-1.4293656,0.035813704,1.0528398,0.46878082,1.1027627,-0.5303275,-2.940292,-0.81720114,-1.1568629,-0.6464956,1.3403175,0.8311515,-0.08809689,0.6447729,-0.977952,0.59556556,-0.891085,-0.3034544,0.60422796,0.19350167,0.4608271,-0.20199588,-0.91177183,-0.30405036,-1.6375717,1.9530404,-1.4971296,0.015868634,1.5685171,0.53127277,3.1529827,1.6155918,1.7440753,-0.6997247,-3.4952507,4.1866393,2.8968222,-1.9679555,2.6330624,-2.6186135,-0.546988,-3.1829982,-2.5724487,-4.229975,0.39180595,3.1476383,1.84818,0.38251483,-0.097660065,0.82231367
19870331,1.1954126,0.15894368,-2.9074314,0.8479974,-1.327554,-0.8675403,-2.7224746,0.8970977,-1.4632198,-0.47804147,0.19795603,0.17939731,-0.70546544,-0.5597195,0.37637305,0.5240791,0.3020614,1.7480054,0.60401165,0.64602673,-2.509104,-1.6081911,-3.1336272,-0.941278,-1.0880399,-0.92109865,1.4240499,-0.63756174,-0.75574785,-0.88846457,-0.7724119,-2.0751266,-2.696484,0.6182867,-0.319952,-0.77577907,0.90175825,-0.8149044,-0.8142522,0.06560354,0.3636547,0.1347885,-0.03064698,-0.50834656,-1.3245953,0.17326474,1.1055801,0.43377548,1.1398513,-0.56382775,-2.8638523,-0.8561037,-1.1715091,-0.6791456,1.2596025,0.7792246,-0.106720984,0.58159506,-1.01221,0.58511907,-0.85969085,-0.31375298,0.57726717,0.08690509,0.09316945,-0.32685164,-0.8795128,-0.19318314,-1.8428509,1.9529523,-1.5988531,-0.067261234,1.5266305,0.6660143,3.1141095,1.7012525,1.7917178,-0.2735363,-2.995072,4.084147,1.7239685,-1.447819,2.4996815,-2.4007287,-0.3529725,-3.156752,-1.9100043,-3.7851048,0.2432619,2.9459703,1.7881333,0.54523635,0.10159838,0.4434603
19870430,1.2211269,0.14850439,-3.0432992,0.92615217,-1.3417805,-0.9162289,-2.8724065,0.878836,-1.5624276,-0.53712565,0.14336677,0.18568137,-0.8316517,-0.52830267,0.48663503,0.6067381,0.23207738,1.6336893,0.5105487,0.5580443,-2.5156553,-1.6242757,-3.2023833,-0.98180485,-1.0516629,-0.82175446,1.389446,-0.8637847,-0.7016759,-0.8052299,-0.6534598,-2.1651528,-2.7923944,0.5829198,-0.18713842,-0.8973396,0.7884115,-0.8662322,-0.9829845,0.0032247007,0.3479657,0.06312455,-0.1083241,-0.6106848,-1.3574979,0.001055479,1.071387,0.43976963,1.0723975,-0.5402625,-2.8025477,-0.78727335,-1.2537106,-0.6218846,1.2989218,0.56007195,-0.121100664,0.4575923,-0.89451027,0.5277799,-0.96631074,-0.01699403,0.5705688,0.16282652,0.2271912,-0.3941346,-0.9891722,-0.20484999,-1.6448584,1.9824926,-1.4392917,-0.043164283,0.75342196,0.71188915,3.209748,1.6627479,1.7565728,0.1032749,-2.9641402,4.0305514,2.2575998,-0.3507736,2.529358,-2.2272341,-0.35992435,-3.084425,-1.7314508,-3.8319163,0.19771144,3.0523052,1.9190497,0.48661116,0.19955039,0.74314195
19870529,1.1155494,0.13068089,-2.7569003,0.8986303,-1.2856591,-0.8470069,-2.582095,0.8473756,-1.5102354,-0.5808559,0.15468228,0.18430667,-0.77223414,-0.38378847,0.5317362,0.53108287,0.23430869,1.5175567,0.57630825,0.57288015,-2.2470393,-1.3406825,-2.9279053,-0.8720729,-0.9626521,-0.8005392,1.2522786,-0.76682985,-0.64581525,-0.78831446,-0.72390324,-1.9522057,-2.4976046,0.5861753,-0.24827132,-0.8051058,0.7440749,-0.92202693,-0.8169475,-0.02895154,0.30582508,0.08464624,-0.1009449,-0.5814098,-1.3087232,-0.06471862,0.9645369,0.45653915,1.0482305,-0.46226138,-2.5723825,-0.7595289,-1.1654717,-0.6334862,1.1175882,0.40385464,-0.102283984,0.524241,-0.8637689,0.4294858,-0.9317356,0.18304022,0.569064,0.058350757,-0.11807552,-0.5490301,-0.94764394,-0.2631975,-1.4522091,1.7968096,-1.3092889,-0.018853813,0.617637,0.698583,2.4080284,1.7185562,1.8164427,0.686794,-2.3539267,3.6500063,2.3382676,-0.40240186,2.3980775,-1.7722236,-0.6554938,-2.4814837,-0.8871987,-3.2881837,0.2500142,2.8287544,1.6272221,0.66237885,0.518173,0.22066176
19870630,1.1488811,0.09971909,-2.6553938,0.6775232,-1.3554668,-0.9223994,-2.4662907,0.8293372,-1.4538817,-0.6128027,0.15826859,0.2063373,-0.6180391,-0.36315614,0.5525905,0.47173366,0.22880274,1.5719446,0.62085766,0.5937419,-2.3294013,-1.3369966,-2.8555899,-0.9005118,-1.024606,-0.791992,1.1571282,-0.48869446,-0.69372404,-0.8046914,-0.6972046,-1.9155695,-2.4592059,0.6364049,-0.20495653,-0.7698565,0.7582735,-0.8897767,-0.8032913,-0.05684705,0.263537,0.123321265,-0.10047304,-0.6157374,-1.2386438,-0.07598458,0.9298681,0.26042664,0.9741042,-0.3875212,-2.4393895,-0.6825824,-1.1174505,-0.58799237,1.1254916,0.30284998,-0.0940299,0.5587225,-0.8430862,0.50431925,-0.8822506,0.16682406,0.54622686,0.0781655,-0.46798423,-0.5519717,-1.0437608,-0.34842956,-1.3412328,1.7704275,-1.2711201,-0.09099208,0.6694565,0.6241574,2.3842633,1.6954683,1.805762,0.9746577,-2.2809117,3.5260966,1.6719066,-0.5472128,2.281554,-1.8281337,-0.5701928,-2.3816295,-0.47392535,-3.072427,0.10464303,2.7600837,1.4248424,0.737977,0.48825055,0.09939674
19870731,0.96741927,-0.08756061,-2.535451,0.44005948,-1.1796799,-0.7329316,-2.586639,0.6396402,-1.4135388,-0.8563914,0.019094393,-0.09072271,-0.29459012,-0.1753735,-0.2426466,0.56094396,0.24596918,1.5065737,0.5945915,0.49039704,-1.841328,-1.4206674,-2.5392897,-1.0605779,-0.9357814,-0.83483547,1.048392,-0.3445462,-0.40533602,-0.73051965,-0.41235313,-2.1711032,-2.5623608,0.7038735,0.33214188,-0.76150006,0.40305066,-0.81072205,-0.88630587,-0.13535042,0.037483327,-0.016844466,-0.24635085,-0.7195745,-1.5621032,-0.009516284,0.9228779,0.4220869,1.0077032,-0.4059197,-2.4464438,-0.7483235,-1.3450747,-0.4807629,1.0193661,0.3706602,-0.19937298,0.48779085,-0.70650613,0.5984584,-1.0114125,-0.06418456,0.67703754,0.09680197,-0.5442968,-0.4740524,-0.95382863,-0.29764032,-1.2139043,1.6701312,-1.123823,-0.030684829,1.3091562,0.54733956,2.336102,1.6165216,1.7224594,1.0157995,-2.473019,3.4029484,1.8664025,-0.15583247,2.14205,-1.8167158,-1.038324,-2.34261,-0.13579485,-3.4115286,0.253672,2.7396631,1.4125103,0.7065194,0.4482655,0.22840315
19870831,1.0420077,-0.01217325,-2.482748,0.3886172,-1.2072544,-0.69151956,-2.5802205,0.595965,-1.4367296,-0.82508016,-0.13420431,-0.0925366,-0.3266458,-0.1246701,-0.27860394,0.5793618,0.34065914,1.5934372,0.65339375,0.61883515,-1.5784154,-1.4687891,-2.4870887,-1.0099767,-0.9980166,-0.87107,1.0633693,-0.28358638,-0.51145697,-0.7745963,-0.46505573,-2.1244648,-2.5139582,0.68259215,0.33107418,-0.70227844,0.41342258,-0.77930933,-0.8304078,-0.14437069,0.06331736,-0.0016754121,-0.25025496,-0.6612053,-1.4898798,0.041617766,0.96493554,0.46911985,1.0373559,-0.42409363,-2.4263566,-0.7134919,-1.2760834,-0.5202438,1.0600805,0.26722595,-0.17889479,0.49920404,-0.6799554,0.63068604,-1.1359253,0.26572403,0.73336416,0.2380309,-0.37893566,-0.17131901,-0.8341156,-0.05484876,-0.98684055,1.6665447,-0.8915042,0.23498175,1.2306578,1.1207055,2.460005,1.6291757,1.7491658,0.35468978,-2.4767494,3.5318687,1.8877993,-0.34118858,2.4769006,-1.7881163,-1.2372601,-2.3916798,-0.4139804,-3.251792,0.06932986,2.9261994,1.3965242,0.7794759,0.44787145,0.16546509
19870930,1.0106612,-0.051588237,-2.5097718,0.31476557,-1.1894033,-0.6535929,-2.6227088,0.5436287,-1.5329896,-0.8195349,0.059946306,-0.17978482,-0.42358565,-0.07178564,-0.22777066,0.5690551,0.35057727,1.5370169,0.6345042,0.58717716,-1.8709235,-1.5164229,-2.591549,-1.0473609,-1.0362091,-0.9179987,0.9946671,-0.33204764,-0.48251796,-0.73802716,-0.4185111,-2.1221569,-2.5830321,0.7156753,0.2832494,-0.73787314,0.35135865,-0.92037207,-0.86071336,-0.14107776,-0.018240772,-0.116876245,-0.36033425,-0.6561407,-1.6659319,-0.029869825,0.98172444,0.45891714,1.04535,-0.38972735,-2.4995735,-0.7421236,-1.2491268,-0.53520155,1.1289847,0.32418892,-0.2714935,0.5246968,-0.7530016,0.6806803,-1.2024376,0.13145234,0.8308028,0.08829677,-0.34261903,-0.0070350915,-0.9378925,0.019777715,-1.3286439,1.6993899,-1.219148,0.08715096,1.3235323,1.3536911,2.3582945,1.7149704,1.8859884,-0.06205132,-2.453195,3.5745502,1.862957,0.27896106,2.194087,-1.5493263,-1.3314059,-2.5605242,-0.7565371,-3.3001602,0.0035492256,2.8064375,1.4916905,0.585536,0.34702063,0.14373256
19871030,0.9873127,-0.009810746,-2.4303803,0.4257687,-1.2566695,-0.67588574,-2.587913,0.66325384,-1.4443489,-0.80912066,0.06916624,0.07878366,-0.470581,0.037617654,-0.12354559,0.66741943,0.28133363,1.5535911,0.689736,0.63194567,-1.8835819,-1.36509,-2.5628483,-0.9344106,-1.0105577,-0.8645213,1.1297846,-0.14714804,-0.37732577,-0.79656357,-0.38441265,-2.0982316,-2.5629056,0.7305453,0.28852287,-0.69638944,0.31765544,-0.84816086,-0.84548974,-0.18415308,-0.01719445,0.11451836,-0.34423515,-0.7261726,-1.4831911,-0.1162889,1.0295578,0.3668661,1.06298,-0.32377562,-2.367985,-0.7433571,-1.3424939,-0.43821335,1.0934966,0.3051941,-0.09631607,0.5953234,-0.7595522,0.6511344,-1.1681849,0.12505202,0.81874776,-0.05179912,0.11734089,-0.18229714,-0.92879283,-0.19179273,-1.5242854,1.9004102,-1.3232228,-0.07013969,1.3142419,1.1733425,2.4025428,1.7853036,1.9297228,-0.5824516,-2.4759696,3.7257657,1.8166145,0.06435017,2.2409925,-1.6121098,-1.0253329,-2.4608357,-1.3912717,-3.331002,-0.12040121,2.8245816,1.5091559,0.625667,0.42182106,0.11604015
