DATE,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,ms,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,baspread,beta,betasq,chmom,dolvol,idiovol,ill,indmom,maxret,mom12m,mom1m,mom36m,mom6m,mvel1,pricedelay,retvol,std_dolvol,std_turn,turn,zerotrade
19870130,1.5940975,0.05431886,-2.4968038,1.8495445,-0.92960185,-0.5616973,-2.3908727,1.3523682,-1.3208268,-0.46054807,-0.20579292,-0.09105711,-0.69615525,-0.43472537,-0.18458615,0.24901909,0.736901,2.3143969,0.98381835,1.0766295,-2.4378412,-1.5627561,-3.1391342,-0.5677507,-0.9508603,-0.6605653,1.9006587,-0.82418245,-0.5834405,-0.94228685,-0.8357898,-1.7886537,-2.4700687,0.93425715,-0.329705,-0.8208071,1.2657598,-0.95763457,-0.8434782,-0.14485002,0.31181297,-0.24007893,-0.2131066,-0.50316244,-1.1877744,0.47256073,1.5133842,0.58754575,1.6333859,-0.41530854,-2.4920707,-0.7652068,-1.1314689,-0.4589148,1.7487254,1.1347507,-0.4331,0.9607255,-0.9413609,0.9978248,-0.68581253,-0.45753345,0.9257777,0.0034590736,-0.4058529,-0.48001757,-0.70789856,-0.639736,-1.9609339,2.6708994,-1.8269895,-0.37822166,1.8852414,1.839683,3.8578768,2.4286623,2.6123283,-1.0828643,-2.7213705,5.1965013,3.6517324,-1.7808825,2.2744997,-2.5288987,-1.8718754,-3.1758804,-2.981024,-3.4286866,0.28036508,3.3871717,1.7273917,0.07710609,-0.7026024,1.0167513
19870227,1.6007038,0.15762088,-2.5935254,1.7177236,-1.0307899,-0.6509668,-2.1433523,1.407011,-1.1221293,-0.3606619,-0.2405558,-0.15824589,-0.726562,-0.48683286,-0.032814,0.22246891,0.8782702,2.328542,0.9724361,1.0399232,-2.5116463,-1.440227,-2.9119635,-0.52692515,-0.93045235,-0.67779243,1.8729482,-0.7281388,-0.5561211,-1.0361588,-0.7934197,-1.7585777,-2.347261,1.0013708,-0.23338646,-0.63809466,1.2655015,-0.81850195,-0.6394949,-0.029780045,0.058208294,-0.29627913,-0.19043493,-0.48599693,-1.0570438,0.5631761,1.5249438,0.48804885,1.6221274,-0.52267,-2.3019598,-0.72432816,-0.9910672,-0.4973767,1.7490275,1.1124665,-0.39681268,0.9329479,-0.9362515,1.0128115,-0.62830544,-0.3881065,1.0068437,0.1567505,0.75589186,-0.3447184,-0.6541363,-0.47430676,-1.4759636,2.5349326,-1.4469383,-0.189268,2.0768836,0.6851921,3.6521215,2.424005,2.6439452,-0.6824411,-2.5267994,5.1819468,3.4881148,-1.9450312,2.5431855,-2.7048607,-0.49958163,-3.0615745,-2.7068412,-3.093039,0.5700756,3.1923535,2.2867365,0.355434,-0.3833178,1.2191482
19870331,1.5518175,0.07072797,-2.4180658,1.7276216,-1.009837,-0.64418584,-2.0866117,1.3855462,-1.0564885,-0.338682,-0.19060297,-0.067799434,-0.7393831,-0.4520809,-0.18302077,0.2844335,0.79283535,2.2492225,0.89613664,0.96956414,-2.286527,-1.3545443,-2.7490404,-0.5524657,-0.8911043,-0.7172929,1.9722047,-0.75609875,-0.5327704,-1.14765,-0.8151729,-1.6319908,-2.239399,0.79698986,-0.37786287,-0.5272807,1.2906435,-0.73917353,-0.5478062,-0.10797836,0.30518913,-0.31113768,-0.18570526,-0.5167153,-0.9556488,0.6070011,1.5053253,0.5019357,1.6279402,-0.55388874,-2.2881804,-0.8195574,-1.0406008,-0.49749333,1.6824689,1.0281141,-0.39728487,0.8802347,-1.0146986,1.0247829,-0.57017857,-0.39608294,0.9866001,-0.20984353,0.04040459,-0.43060836,-0.5424087,-0.56238794,-1.7390721,2.5609927,-1.597367,-0.2381436,1.9911202,0.8233939,3.6685836,2.5184789,2.6632414,-0.31999195,-2.2622113,5.098967,3.0763462,-1.4724929,2.3463295,-2.4876719,-0.2518656,-2.97631,-1.9580127,-2.7134507,0.24140593,2.949967,2.2014174,0.5137532,-0.085259736,0.77899843
19870430,1.5698285,0.045428097,-2.5287519,1.7472773,-0.99223006,-0.753067,-2.3672028,1.350392,-1.2138845,-0.36097038,-0.19522494,-0.1603943,-0.8339848,-0.45760298,-0.06135305,0.42327696,0.6582744,2.216934,0.7879458,0.8425788,-2.323628,-1.410742,-2.9274619,-0.6433018,-0.8873322,-0.6825565,1.8741364,-0.8659833,-0.51407665,-1.0686781,-0.6858575,-1.7384089,-2.430853,0.842729,-0.21317026,-0.8086056,1.2071179,-0.7271585,-0.83418113,-0.14671025,0.30805364,-0.247216,-0.18241532,-0.61050296,-1.07358,0.38530707,1.4790351,0.55630356,1.610514,-0.53961766,-2.256748,-0.72734827,-1.0978159,-0.44266212,1.7030996,0.3954319,-0.41533822,0.6907051,-0.9515073,0.99173075,-0.7273077,-0.35325658,1.0108635,-0.14421383,0.21599244,-0.46750677,-0.7488957,-0.4459833,-1.6321633,2.6216033,-1.5232571,-0.31915966,0.9718641,0.8740075,3.7475617,2.4722054,2.6085544,-0.08621927,-2.3745298,5.1058965,3.4571095,-0.5518254,2.3842435,-2.2415798,-0.31835362,-2.9786243,-1.8164047,-2.8631868,0.29709175,3.1405444,2.3205876,0.3789857,-0.14085923,0.9902498
19870529,1.4641075,-0.0040357932,-2.2277682,1.6760647,-0.98344094,-0.67022413,-2.0931718,1.3081152,-1.1804599,-0.4280566,-0.1863447,-0.19599155,-0.75377953,-0.3365917,0.044197667,0.23736824,0.662517,2.1407666,0.78212,0.839717,-2.0292785,-1.2437229,-2.6222043,-0.5876739,-0.81955063,-0.7127918,1.7861311,-0.74362844,-0.4824723,-1.0528749,-0.8079015,-1.4858036,-2.140468,0.7960999,-0.37394756,-0.6810618,1.1442897,-0.79207695,-0.6573011,-0.15823252,0.18834828,-0.36535752,-0.19515163,-0.63371414,-1.0079937,0.43547463,1.4077803,0.50136846,1.5769885,-0.48783216,-2.0874565,-0.7480454,-0.9867054,-0.5138523,1.5664083,0.08260759,-0.42983145,0.69505996,-0.9697754,0.9277836,-0.68131405,-0.29531813,0.96183956,-0.37702402,-0.15682486,-0.5579826,-0.7457951,-0.4416276,-1.4299064,2.4890888,-1.3829175,-0.26880744,0.7501007,0.8612717,3.1636107,2.431454,2.5966034,0.6587856,-1.9580851,4.906322,3.137483,-0.44730183,2.2679605,-1.7887615,-0.78861517,-2.4927847,-1.2439951,-2.4699018,0.39344743,2.8589015,2.1495738,0.3555042,0.14121622,0.926267
19870630,1.4837147,0.018334903,-2.1311905,1.6344296,-1.0170424,-0.72378874,-1.9382727,1.3073939,-1.1359241,-0.5006613,-0.22035247,-0.1792154,-0.6865582,-0.32640117,0.17826644,0.071460515,0.63663197,2.1742194,0.86585575,0.886345,-2.0262747,-1.1445935,-2.5536406,-0.54380053,-0.8469085,-0.65409034,1.7464726,-0.57287174,-0.48461297,-1.0034162,-0.7697978,-1.4654517,-2.1108522,0.8471145,-0.28647235,-0.6157689,1.165795,-0.7579078,-0.61834025,-0.18117625,0.28709874,-0.37219217,-0.18870708,-0.6351831,-0.926134,0.30051607,1.3929613,0.2574898,1.5316112,-0.4238888,-1.9625378,-0.60458064,-0.9121457,-0.43197495,1.625762,0.13145266,-0.4254796,0.78742635,-0.83507085,0.95028615,-0.6784296,-0.29118872,0.8978303,-0.31137192,-0.46182856,-0.5812244,-0.8220879,-0.47039232,-1.30984,2.4746947,-1.333467,-0.33325532,0.78633255,0.7074548,3.1426947,2.3844705,2.5658085,1.1088164,-1.9567621,4.8143888,3.1026087,-0.62997943,2.1171584,-2.0017588,-0.73946977,-2.2613292,-1.1761099,-2.3505416,0.2186484,2.8092542,1.8501492,0.44417116,0.10706042,0.75444317
19870731,1.2448246,-0.19108716,-2.1541708,1.541318,-0.87991256,-0.51215786,-2.088187,1.0275004,-1.0285954,-0.6415198,-0.26050067,-0.59117186,-0.61447334,-0.30249417,-0.44886154,0.11054626,0.6366534,2.1307092,0.8018867,0.810347,-1.6188416,-1.2917839,-2.324619,-0.66372657,-0.7689001,-0.7703357,1.5936788,-0.5521696,-0.4538206,-0.96156,-0.7451581,-1.7315623,-2.2058418,1.0156263,-0.19798298,-0.63223386,0.8658983,-0.73281026,-0.6602064,-0.2318093,-0.12938154,-0.43754095,-0.26121932,-0.7624563,-1.1831104,0.34936213,1.4117963,0.6350399,1.5083908,-0.39509597,-1.9929183,-0.7063267,-1.1216244,-0.3821147,1.456816,0.22711161,-0.49666417,0.6316051,-0.77002203,0.9951943,-0.8189123,-0.40278932,1.0631669,-0.2563899,-0.48230916,-0.52064925,-0.69952875,-0.4419573,-1.1138899,2.4232044,-1.0967594,-0.18157388,1.8779337,0.6189693,3.134555,2.182296,2.4104676,1.2143257,-2.0572627,4.6999784,2.9582267,0.31350407,2.0186307,-1.860146,-1.2052215,-2.2885058,-0.9951452,-2.6628783,0.25441983,2.925403,1.8458828,0.45484358,0.006129414,0.78266335
19870831,1.2737709,-0.13615906,-2.131176,1.531156,-0.87098575,-0.41888955,-2.1941261,1.0184387,-1.170846,-0.635846,-0.25776565,-0.5605051,-0.6120026,-0.1863848,-0.47944936,0.13578771,0.81147283,2.1787307,0.9026433,0.9204906,-1.5470986,-1.469626,-2.4378695,-0.6697801,-0.9147975,-0.8271723,1.5647206,-0.4447428,-0.51348025,-1.0030531,-0.685857,-1.7499585,-2.272805,1.0499467,-0.15940124,-0.60135984,0.932245,-0.7444222,-0.62321013,-0.2156907,-0.11821176,-0.42658103,-0.26161462,-0.74495095,-1.2294052,0.50764096,1.4045236,0.6636638,1.5334256,-0.41014317,-2.1041822,-0.68184537,-1.0663817,-0.42973822,1.4670448,0.15110406,-0.4674979,0.71860504,-0.77325046,1.0464227,-1.0474198,0.113018535,1.1041483,0.06752448,-0.49747777,-0.37184876,-0.6959189,-0.318576,-0.926635,2.2879314,-0.9391574,0.21476045,1.6503998,1.5140396,3.1887124,2.18773,2.4477477,0.42870736,-2.1931841,4.7406054,3.2647018,-0.48712873,2.383617,-1.9671487,-0.9603802,-2.5164635,-1.2429652,-2.6961641,0.4027553,3.0588298,1.8267994,0.5479125,0.08186583,0.7403128
19870930,1.2205367,-0.14209281,-2.142611,1.5050864,-0.93303055,-0.4485972,-2.1633134,0.98837197,-1.2370511,-0.6585494,-0.2824143,-0.5881941,-0.66281086,-0.16278881,-0.3463912,0.10334433,0.7925498,2.1361628,0.8550684,0.8573558,-1.6821979,-1.39888,-2.4332857,-0.646384,-0.93421143,-0.81676763,1.5478467,-0.42276305,-0.4557289,-0.9646267,-0.6608036,-1.7041525,-2.237863,0.98412836,-0.18852371,-0.61290777,0.8401673,-0.8625043,-0.65623087,-0.23930252,-0.20061448,-0.425087,-0.31509396,-0.69266057,-1.2989154,0.48488808,1.4688996,0.6013829,1.5343964,-0.4257652,-2.0876064,-0.6647829,-1.029407,-0.42031777,1.5524906,0.1756184,-0.42460132,0.7191977,-0.80729336,1.067008,-1.0633605,-0.19017577,1.2158418,-0.23233974,-0.4591215,-0.3390377,-0.7225749,-0.23756656,-1.2163033,2.3709826,-1.1951231,-0.052495096,1.8139149,1.9105802,3.0830545,2.401193,2.676743,-0.18887463,-2.0569425,4.8457146,3.136096,0.72615284,2.022878,-1.727183,-1.2962786,-2.6045005,-1.2690722,-2.6636956,0.07737199,2.8524327,1.9463667,0.3718365,0.054629654,0.73490983
19871030,1.2042798,-0.11039196,-2.0121808,1.3260901,-1.066947,-0.530417,-2.0431383,1.0877353,-1.0534409,-0.6028365,-0.21979667,-0.35185432,-0.6262339,-0.07849237,-0.2863103,0.39287484,0.69539243,2.1380982,0.93050516,0.9224093,-1.6563176,-1.2174833,-2.2892513,-0.5429857,-0.89189875,-0.7024455,1.637563,-0.34536725,-0.34372777,-0.9932582,-0.5229666,-1.6717005,-2.135041,1.0232183,-0.21327901,-0.5413871,0.55485934,-0.67542917,-0.6000558,-0.24005744,-0.16718648,-0.24466874,-0.28193828,-0.73677677,-1.0621774,0.34943748,1.5187784,0.49029484,1.5533284,-0.33560136,-1.8764364,-0.6801106,-1.1662024,-0.3091282,1.4981241,0.07585841,-0.34461403,0.83703613,-0.84863603,1.0437733,-0.9890237,-0.2610842,1.239606,-0.481301,-0.006091241,-0.39528054,-0.7192217,-0.30718565,-1.4315094,2.5969083,-1.327424,-0.15136169,1.8184859,1.6155574,3.1700463,2.45783,2.706527,-0.6519189,-1.9978309,4.9986467,3.0742812,0.15739277,2.0608017,-1.7595568,-1.21998,-2.4928522,-1.716315,-2.5410283,-0.10543171,2.829884,1.9237756,0.3208118,0.0983296,0.7643167
